Elapsed Time[s]	Write 0 [deg]	Write 1 [A]	Write 2 [A]	
15.3600	0.000	0.479	0.176	
15.3605	0.000	0.496	0.128	
15.3610	0.000	0.505	0.089	
15.3615	0.000	0.575	0.017	
15.3620	0.000	0.552	0.017	
15.3625	0.000	0.486	0.016	
15.3630	0.000	0.408	0.016	
15.3635	0.000	0.289	0.084	
15.3640	0.000	0.171	0.206	
15.3645	0.000	0.122	0.255	
15.3650	0.000	0.086	0.290	
15.3655	0.000	0.054	0.320	
15.3660	0.000	0.004	0.442	
15.3665	0.000	0.004	0.486	
15.3670	0.000	0.004	0.514	
15.3675	0.000	0.004	0.535	
15.3680	0.000	0.152	0.470	
15.3685	0.000	0.290	0.468	
15.3690	0.000	0.343	0.530	
15.3695	0.000	0.369	0.602	
15.3700	0.000	0.421	0.589	
15.3705	0.000	0.516	0.328	
15.3710	0.000	0.524	0.236	
15.3715	0.000	0.525	0.191	
15.3720	0.000	0.524	0.170	
15.3725	0.000	0.408	0.272	
15.3730	0.000	0.391	0.286	
15.3735	0.000	0.418	0.269	
15.3740	0.000	0.471	0.253	
15.3745	0.000	0.367	0.336	
15.3750	0.000	0.204	0.405	
15.3755	0.000	0.146	0.411	
15.3760	0.000	0.116	0.411	
15.3765	0.000	0.091	0.408	
15.3770	0.000	0.204	0.270	
15.3775	0.000	0.199	0.268	
15.3780	0.000	0.181	0.287	
15.3785	0.000	0.167	0.306	
15.3790	0.000	0.278	0.208	
15.3795	0.000	0.324	0.168	
15.3800	0.000	0.327	0.153	
15.3805	0.000	0.325	0.136	
15.3810	0.000	0.267	0.222	
15.3815	0.000	0.185	0.440	
15.3820	0.000	0.195	0.546	
15.3825	0.000	0.215	0.615	
15.3830	0.000	0.239	0.664	
15.3835	0.000	0.127	0.833	
15.3840	0.000	0.133	0.865	
15.3845	0.000	0.148	0.864	
15.3850	0.000	0.143	0.845	
15.3855	0.000	0.295	0.705	
15.3860	0.000	0.464	0.612	
15.3865	0.000	0.549	0.573	
15.3870	0.000	0.607	0.546	
15.3875	0.000	0.674	0.476	
15.3880	0.000	0.809	0.242	
15.3885	0.000	0.823	0.161	
15.3890	0.000	0.815	0.111	
15.3895	0.000	0.790	0.077	
15.3900	0.000	0.628	0.169	
