Elapsed Time[s]	Write 0 [deg]	Write 1 [A]	Write 2 [A]	
73.2160	0.000	0.322	0.016	
73.2165	0.000	0.313	0.017	
73.2170	0.000	0.299	0.019	
73.2175	0.000	0.232	0.033	
73.2180	0.000	0.188	0.037	
73.2185	0.000	0.155	0.037	
73.2190	0.000	0.129	0.034	
73.2195	0.000	0.108	0.031	
73.2200	0.000	0.091	0.027	
73.2205	0.000	0.076	0.024	
73.2210	0.000	0.064	0.021	
73.2215	0.000	0.053	0.018	
73.2220	0.000	0.045	0.016	
73.2225	0.000	0.036	0.016	
73.2230	0.000	0.029	0.017	
73.2235	0.000	0.023	0.017	
73.2240	0.000	0.018	0.016	
73.2245	0.000	0.014	0.016	
73.2250	0.000	0.010	0.016	
73.2255	0.000	0.007	0.016	
73.2260	0.000	0.004	0.016	
73.2265	0.000	0.003	0.017	
73.2270	0.000	0.004	0.017	
73.2275	0.000	0.004	0.016	
73.2280	0.000	0.004	0.017	
73.2285	0.000	0.004	0.016	
73.2290	0.000	0.004	0.017	
73.2295	0.000	0.004	0.016	
73.2300	0.000	0.004	0.017	
73.2305	0.000	0.004	0.017	
73.2310	0.000	0.004	0.017	
73.2315	0.000	0.003	0.016	
73.2320	0.000	0.004	0.016	
73.2325	0.000	0.004	0.016	
73.2330	0.000	0.004	0.016	
73.2335	0.000	0.003	0.012	
73.2340	0.000	0.003	0.015	
73.2345	0.000	0.004	0.016	
73.2350	0.000	0.003	0.016	
73.2355	0.000	0.004	0.016	
73.2360	0.000	0.004	0.016	
73.2365	0.000	0.002	0.015	
73.2370	0.000	0.004	0.016	
73.2375	0.000	0.004	0.016	
73.2380	0.000	0.004	0.016	
73.2385	0.000	0.005	0.017	
73.2390	0.000	0.004	0.017	
73.2395	0.000	0.003	0.016	
73.2400	0.000	0.003	0.017	
73.2405	0.000	0.004	0.015	
73.2410	0.000	0.001	0.016	
73.2415	0.000	0.003	0.016	
73.2420	0.000	0.004	0.016	
73.2425	0.000	0.004	0.017	
73.2430	0.000	0.004	0.016	
73.2435	0.000	0.004	0.017	
73.2440	0.000	0.005	0.017	
73.2445	0.000	0.004	0.016	
73.2450	0.000	0.003	0.017	
73.2455	0.000	0.000	0.016	
73.2460	0.000	0.003	0.016	
73.2465	0.000	0.004	0.016	
73.2470	0.000	0.004	0.017	
73.2475	0.000	0.004	0.015	
73.2480	0.000	0.004	0.018	
73.2485	0.000	0.033	0.016	
73.2490	0.000	0.046	0.016	
73.2495	0.000	0.050	0.017	
73.2500	0.000	0.049	0.017	
73.2505	0.000	0.047	0.017	
73.2510	0.000	0.044	0.016	
73.2515	0.000	0.041	0.018	
73.2520	0.000	0.037	0.016	
73.2525	0.000	0.035	0.016	
73.2530	0.000	0.033	0.016	
73.2535	0.000	0.032	0.017	
73.2540	0.000	0.032	0.016	
73.2545	0.000	0.031	0.015	
73.2550	0.000	0.035	0.016	
73.2555	0.000	0.035	0.016	
73.2560	0.000	0.038	0.016	
73.2565	0.000	0.040	0.015	
73.2570	0.000	0.045	0.014	
73.2575	0.000	0.048	0.016	
73.2580	0.000	0.052	0.015	
73.2585	0.000	0.056	0.016	
73.2590	0.000	0.060	0.016	
73.2595	0.000	0.063	0.015	
73.2600	0.000	0.066	0.016	
73.2605	0.000	0.069	0.016	
73.2610	0.000	0.071	0.016	
73.2615	0.000	0.073	0.016	
73.2620	0.000	0.072	0.016	
73.2625	0.000	0.069	0.016	
73.2630	0.000	0.064	0.016	
73.2635	0.000	0.058	0.015	
73.2640	0.000	0.050	0.016	
73.2645	0.000	0.046	0.016	
73.2650	0.000	0.040	0.016	
73.2655	0.000	0.034	0.015	
73.2660	0.000	0.029	0.016	
73.2665	0.000	0.024	0.018	
73.2670	0.000	0.020	0.016	
73.2675	0.000	0.017	0.016	
73.2680	0.000	0.013	0.018	
73.2685	0.000	0.010	0.016	
73.2690	0.000	0.008	0.017	
73.2695	0.000	0.007	0.017	
73.2700	0.000	0.006	0.017	
73.2705	0.000	0.005	0.017	
73.2710	0.000	0.004	0.017	
73.2715	0.000	0.004	0.017	
73.2720	0.000	0.004	0.016	
73.2725	0.000	0.004	0.016	
73.2730	0.000	0.003	0.017	
73.2735	0.000	0.004	0.016	
73.2740	0.000	0.003	0.016	
73.2745	0.000	0.003	0.016	
73.2750	0.000	0.003	0.017	
73.2755	0.000	0.004	0.016	
73.2760	0.000	0.004	0.016	
73.2765	0.000	0.004	0.016	
73.2770	0.000	0.003	0.016	
73.2775	0.000	0.004	0.016	
73.2780	0.000	0.004	0.016	
73.2785	0.000	0.003	0.017	
73.2790	0.000	0.007	0.016	
73.2795	0.000	0.023	0.016	
73.2800	0.000	0.025	0.016	
73.2805	0.000	0.024	0.016	
73.2810	0.000	0.022	0.016	
73.2815	0.000	0.020	0.016	
73.2820	0.000	0.016	0.017	
73.2825	0.000	0.013	0.015	
73.2830	0.000	0.009	0.018	
73.2835	0.000	0.007	0.017	
73.2840	0.000	0.005	0.018	
73.2845	0.000	0.004	0.017	
73.2850	0.000	0.004	0.017	
73.2855	0.000	0.004	0.017	
73.2860	0.000	0.004	0.018	
73.2865	0.000	0.004	0.017	
73.2870	0.000	0.004	0.017	
73.2875	0.000	0.004	0.017	
