Elapsed Time[s]	Write 0 [deg]	Write 1 [A]	Write 2 [A]	
24.5760	187.566	0.646	0.079	
24.5765	189.326	0.669	0.069	
24.5770	189.326	0.693	0.062	
24.5775	189.326	0.717	0.056	
24.5780	189.326	0.734	0.050	
24.5785	188.622	0.754	0.046	
24.5790	190.381	0.773	0.045	
24.5795	190.381	0.788	0.044	
24.5800	191.437	0.798	0.045	
24.5805	192.141	0.806	0.047	
24.5810	192.141	0.813	0.052	
24.5815	193.196	0.813	0.057	
24.5820	193.196	0.822	0.063	
24.5825	194.956	0.827	0.068	
24.5830	194.956	0.832	0.070	
24.5835	194.956	0.836	0.078	
24.5840	196.716	0.840	0.084	
24.5845	196.012	0.846	0.091	
24.5850	196.716	0.849	0.097	
24.5855	197.771	0.852	0.103	
24.5860	197.771	0.859	0.109	
24.5865	197.771	0.865	0.112	
24.5870	198.827	0.774	0.153	
24.5875	198.827	0.441	0.276	
24.5880	198.827	0.293	0.321	
24.5885	199.883	0.218	0.332	
24.5890	200.587	0.177	0.325	
24.5895	200.587	0.151	0.309	
24.5900	202.346	0.132	0.289	
24.5905	202.346	0.117	0.266	
24.5910	201.642	0.105	0.241	
24.5915	201.642	0.095	0.213	
24.5920	202.698	0.087	0.191	
24.5925	203.402	0.080	0.158	
24.5930	203.402	0.075	0.130	
24.5935	205.161	0.073	0.108	
24.5940	204.457	0.065	0.087	
24.5945	204.457	0.067	0.068	
24.5950	205.513	0.066	0.048	
24.5955	206.217	0.067	0.037	
24.5960	206.217	0.070	0.024	
24.5965	207.977	0.071	0.012	
24.5970	207.273	0.080	0.002	
24.5975	207.273	0.084	0.001	
24.5980	208.328	0.086	0.000	
24.5985	209.032	0.092	0.001	
24.5990	208.328	0.098	0.001	
24.5995	210.088	0.102	0.001	
24.6000	210.088	0.105	0.001	
24.6005	211.144	0.113	0.002	
24.6010	211.848	0.118	-0.001	
24.6015	211.848	0.122	0.001	
24.6020	213.607	0.125	-0.001	
24.6025	212.903	0.243	0.000	
24.6030	212.903	0.324	0.002	
24.6035	213.607	0.344	0.001	
24.6040	214.663	0.344	0.002	
24.6045	214.663	0.329	0.002	
24.6050	214.663	0.308	0.000	
24.6055	216.422	0.287	0.002	
24.6060	215.718	0.262	0.000	
24.6065	215.718	0.232	0.001	
24.6070	216.774	0.205	-0.002	
24.6075	217.478	0.176	0.002	
24.6080	217.478	0.149	0.002	
24.6085	219.238	0.125	0.002	
24.6090	218.534	0.102	0.001	
24.6095	218.886	0.083	0.001	
24.6100	219.589	0.065	0.002	
24.6105	220.293	0.049	0.001	
24.6110	219.589	0.033	0.001	
24.6115	222.053	0.027	0.001	
24.6120	221.349	0.015	-0.002	
24.6125	222.053	0.012	0.001	
24.6130	223.109	0.012	0.001	
24.6135	223.109	0.014	0.001	
24.6140	224.868	0.012	0.001	
24.6145	224.164	0.010	-0.001	
24.6150	224.164	0.012	0.002	
24.6155	225.220	0.014	0.002	
24.6160	225.924	0.012	0.000	
24.6165	225.220	0.012	0.001	
24.6170	227.683	0.011	0.000	
24.6175	226.979	0.000	0.077	
24.6180	227.683	0.006	0.262	
24.6185	228.035	0.007	0.369	
24.6190	228.739	0.010	0.439	
24.6195	228.739	0.012	0.489	
24.6200	229.795	0.012	0.528	
24.6205	229.795	0.012	0.559	
24.6210	229.795	0.013	0.589	
24.6215	229.795	0.012	0.617	
24.6220	230.850	0.012	0.644	
24.6225	231.554	0.013	0.674	
24.6230	231.554	0.013	0.700	
24.6235	233.314	0.012	0.720	
24.6240	232.610	0.011	0.740	
24.6245	232.610	0.013	0.756	
24.6250	233.666	0.012	0.768	
24.6255	234.370	0.011	0.779	
24.6260	234.370	0.011	0.782	
24.6265	236.129	0.012	0.790	
24.6270	235.425	0.013	0.796	
24.6275	235.425	0.012	0.799	
24.6280	237.185	0.013	0.804	
24.6285	237.185	0.012	0.808	
24.6290	238.240	0.013	0.812	
24.6295	238.240	0.012	0.815	
24.6300	238.240	0.012	0.819	
24.6305	239.296	0.012	0.822	
24.6310	240.000	0.013	0.826	
24.6315	240.000	0.010	0.830	
24.6320	239.296	0.012	0.832	
24.6325	241.056	0.008	0.840	
24.6330	241.056	0.221	0.481	
24.6335	242.111	0.357	0.300	
24.6340	242.815	0.437	0.209	
24.6345	242.815	0.496	0.162	
24.6350	242.111	0.539	0.129	
24.6355	243.871	0.576	0.112	
24.6360	243.871	0.602	0.098	
24.6365	244.575	0.629	0.085	
24.6370	244.927	0.655	0.076	
24.6375	245.630	0.677	0.063	
24.6380	245.630	0.702	0.060	
24.6385	246.686	0.725	0.054	
24.6390	246.686	0.746	0.049	
24.6395	246.686	0.763	0.046	
24.6400	246.686	0.779	0.045	
24.6405	248.446	0.792	0.045	
24.6410	248.446	0.802	0.045	
24.6415	249.501	0.809	0.049	
24.6420	249.501	0.816	0.052	
24.6425	250.205	0.818	0.058	
24.6430	250.557	0.826	0.065	
24.6435	251.261	0.830	0.068	
24.6440	251.261	0.836	0.075	
24.6445	251.261	0.835	0.081	
24.6450	252.317	0.842	0.086	
24.6455	254.076	0.846	0.094	
24.6460	254.076	0.850	0.098	
24.6465	254.076	0.854	0.105	
24.6470	255.836	0.860	0.109	
24.6475	255.132	0.866	0.113	
24.6480	255.836	0.654	0.196	
24.6485	255.836	0.389	0.293	
24.6490	256.892	0.268	0.326	
24.6495	256.188	0.205	0.330	
24.6500	256.188	0.168	0.321	
24.6505	257.947	0.143	0.304	
24.6510	257.947	0.126	0.280	
24.6515	257.947	0.113	0.262	
24.6520	259.003	0.101	0.233	
24.6525	259.707	0.093	0.207	
24.6530	259.707	0.084	0.178	
24.6535	261.466	0.078	0.155	
24.6540	260.762	0.072	0.125	
24.6545	260.762	0.069	0.101	
24.6550	261.818	0.065	0.082	
24.6555	262.522	0.069	0.064	
24.6560	262.522	0.064	0.043	
24.6565	264.282	0.067	0.034	
24.6570	263.578	0.070	0.021	
24.6575	263.578	0.076	0.010	
24.6580	265.337	0.081	0.001	
24.6585	265.337	0.083	0.001	
24.6590	266.393	0.089	0.001	
24.6595	266.393	0.094	0.002	
24.6600	267.097	0.100	0.001	
24.6605	267.097	0.105	0.001	
24.6610	268.152	0.110	0.002	
24.6615	267.449	0.115	0.001	
24.6620	269.208	0.120	0.001	
24.6625	269.208	0.123	0.002	
24.6630	269.208	0.121	0.001	
24.6635	270.968	0.274	0.001	
24.6640	270.968	0.333	0.001	
24.6645	270.968	0.347	0.002	
24.6650	272.727	0.342	-0.000	
24.6655	272.023	0.326	0.004	
24.6660	272.023	0.305	0.002	
24.6665	273.079	0.280	0.002	
24.6670	273.783	0.254	0.002	
24.6675	273.783	0.224	0.002	
24.6680	273.079	0.197	0.002	
24.6685	274.839	0.169	0.001	
24.6690	274.839	0.142	0.002	
24.6695	276.598	0.118	0.001	
24.6700	276.598	0.096	0.000	
24.6705	276.598	0.077	0.001	
24.6710	278.358	0.059	0.001	
24.6715	277.654	0.044	0.000	
24.6720	278.358	0.032	0.001	
24.6725	278.358	0.022	0.001	
24.6730	279.413	0.013	0.001	
24.6735	278.710	0.012	0.002	
24.6740	280.469	0.013	0.002	
24.6745	280.469	0.012	-0.002	
24.6750	281.525	0.008	0.002	
24.6755	282.229	0.012	0.002	
24.6760	282.229	0.012	0.003	
24.6765	283.284	0.011	0.001	
24.6770	283.284	0.012	0.002	
24.6775	283.284	0.012	0.002	
24.6780	285.044	0.011	0.001	
24.6785	285.044	0.013	0.138	
24.6790	284.340	0.008	0.296	
24.6795	284.340	0.011	0.391	
24.6800	286.100	0.011	0.455	
24.6805	286.804	0.012	0.501	
24.6810	286.804	0.010	0.538	
24.6815	287.859	0.012	0.569	
24.6820	287.859	0.014	0.598	
24.6825	287.859	0.013	0.626	
24.6830	289.619	0.008	0.653	
24.6835	288.915	0.014	0.683	
24.6840	288.915	0.014	0.708	
24.6845	289.619	0.013	0.729	
24.6850	290.674	0.012	0.749	
24.6855	290.674	0.012	0.760	
24.6860	289.971	0.012	0.776	
24.6865	291.730	0.013	0.781	
24.6870	291.730	0.012	0.788	
24.6875	293.490	0.012	0.793	
24.6880	293.490	0.012	0.796	
24.6885	292.786	0.012	0.801	
24.6890	294.545	0.012	0.804	
24.6895	294.545	0.012	0.809	
24.6900	295.601	0.012	0.812	
24.6905	296.305	0.012	0.817	
24.6910	295.601	0.011	0.818	
24.6915	295.601	0.010	0.823	
24.6920	297.361	0.011	0.828	
24.6925	298.065	0.012	0.832	
24.6930	299.120	0.012	0.841	
24.6935	299.120	0.030	0.803	
24.6940	298.416	0.253	0.439	
24.6945	300.880	0.376	0.278	
24.6950	300.176	0.447	0.197	
24.6955	300.880	0.504	0.154	
24.6960	300.880	0.548	0.129	
24.6965	301.935	0.575	0.108	
24.6970	301.935	0.608	0.094	
24.6975	301.935	0.634	0.083	
24.6980	301.232	0.658	0.076	
24.6985	302.991	0.681	0.065	
24.6990	302.991	0.705	0.058	
24.6995	304.751	0.729	0.054	
24.7000	304.751	0.749	0.047	
24.7005	304.751	0.767	0.045	
24.7010	305.806	0.782	0.044	
24.7015	305.806	0.793	0.043	
24.7020	305.806	0.803	0.045	
24.7025	306.862	0.809	0.048	
24.7030	307.566	0.815	0.048	
24.7035	307.566	0.819	0.058	
24.7040	306.862	0.826	0.062	
24.7045	308.622	0.831	0.068	
24.7050	308.622	0.834	0.075	
24.7055	310.381	0.838	0.080	
24.7060	309.677	0.842	0.086	
24.7065	312.141	0.845	0.089	
24.7070	311.437	0.848	0.099	
24.7075	311.437	0.855	0.104	
24.7080	312.141	0.859	0.108	
24.7085	313.196	0.865	0.112	
24.7090	313.196	0.591	0.218	
24.7095	312.493	0.362	0.300	
24.7100	314.252	0.252	0.327	
24.7105	314.252	0.197	0.330	
24.7110	315.308	0.163	0.318	
24.7115	316.012	0.141	0.302	
24.7120	316.012	0.124	0.279	
24.7125	316.012	0.110	0.256	
24.7130	317.771	0.100	0.230	
24.7135	317.067	0.090	0.204	
24.7140	317.067	0.084	0.178	
24.7145	318.123	0.076	0.149	
24.7150	318.827	0.070	0.123	
24.7155	318.827	0.066	0.099	
24.7160	318.123	0.067	0.080	
24.7165	319.883	0.067	0.063	
24.7170	319.883	0.066	0.047	
24.7175	320.938	0.067	0.033	
24.7180	321.642	0.066	0.019	
24.7185	321.642	0.077	0.011	
24.7190	322.698	0.082	0.001	
24.7195	322.698	0.084	0.002	
24.7200	322.698	0.091	0.002	
24.7205	324.457	0.096	0.002	
24.7210	323.754	0.103	0.002	
24.7215	323.754	0.106	0.002	
24.7220	325.513	0.111	0.001	
24.7225	325.513	0.115	0.001	
24.7230	327.273	0.122	0.002	
24.7235	327.273	0.123	0.001	
24.7240	327.273	0.157	-0.006	
24.7245	328.328	0.289	0.002	
24.7250	328.328	0.337	0.000	
24.7255	328.328	0.345	0.002	
24.7260	329.384	0.338	0.002	
24.7265	330.088	0.322	0.001	
24.7270	330.088	0.300	0.002	
24.7275	329.384	0.275	0.002	
24.7280	330.088	0.248	0.002	
24.7285	331.144	0.220	0.002	
24.7290	331.144	0.192	0.002	
24.7295	331.848	0.165	0.002	
24.7300	332.903	0.138	0.001	
24.7305	332.903	0.116	0.001	
24.7310	334.663	0.092	0.001	
24.7315	333.959	0.075	0.004	
24.7320	333.959	0.056	0.001	
24.7325	333.959	0.043	0.001	
24.7330	335.718	0.032	0.001	
24.7335	335.718	0.018	0.001	
24.7340	336.774	0.011	0.001	
24.7345	337.478	0.010	0.002	
24.7350	337.478	0.013	0.001	
