Elapsed Time[s]	Write 0 [A]	
33.5872	0.838	
33.5874	0.839	
33.5876	0.838	
33.5878	0.838	
33.5880	0.839	
33.5882	0.838	
33.5884	0.838	
33.5886	0.839	
33.5888	0.839	
33.5890	0.839	
33.5892	0.838	
33.5894	0.839	
33.5896	0.838	
33.5898	0.838	
33.5900	0.839	
33.5902	0.838	
33.5904	0.838	
33.5906	0.838	
33.5908	0.839	
33.5910	0.839	
33.5912	0.839	
33.5914	0.840	
33.5916	0.836	
33.5918	0.837	
33.5920	0.836	
33.5922	0.837	
33.5924	0.838	
33.5926	0.839	
33.5928	0.838	
33.5930	0.839	
33.5932	0.839	
33.5934	0.838	
33.5936	0.839	
33.5938	0.838	
33.5940	0.839	
33.5942	0.838	
33.5944	0.839	
33.5946	0.838	
33.5948	0.838	
33.5950	0.838	
33.5952	0.838	
33.5954	0.838	
33.5956	0.838	
33.5958	0.838	
33.5960	0.839	
33.5962	0.838	
33.5964	0.839	
33.5966	0.838	
33.5968	0.838	
33.5970	0.838	
33.5972	0.838	
33.5974	0.838	
33.5976	0.838	
33.5978	0.838	
33.5980	0.839	
33.5982	0.838	
33.5984	0.838	
33.5986	0.839	
33.5988	0.838	
33.5990	0.839	
33.5992	0.839	
33.5994	0.839	
33.5996	0.839	
33.5998	0.839	
33.6000	0.837	
33.6002	0.839	
33.6004	0.839	
33.6006	0.839	
33.6008	0.838	
33.6010	0.839	
33.6012	0.838	
33.6014	0.841	
33.6016	0.839	
33.6018	0.839	
33.6020	0.838	
33.6022	0.838	
33.6024	0.839	
33.6026	0.836	
33.6028	0.839	
33.6030	0.837	
33.6032	0.838	
33.6034	0.839	
33.6036	0.838	
33.6038	0.838	
33.6040	0.839	
33.6042	0.837	
33.6044	0.838	
33.6046	0.838	
33.6048	0.838	
33.6050	0.838	
33.6052	0.838	
33.6054	0.839	
33.6056	0.838	
33.6058	0.838	
33.6060	0.838	
33.6062	0.839	
33.6064	0.839	
33.6066	0.838	
33.6068	0.838	
33.6070	0.838	
33.6072	0.839	
33.6074	0.838	
33.6076	0.839	
33.6078	0.838	
33.6080	0.838	
33.6082	0.838	
33.6084	0.838	
33.6086	0.838	
33.6088	0.838	
33.6090	0.838	
33.6092	0.840	
33.6094	0.839	
33.6096	0.838	
33.6098	0.838	
33.6100	0.838	
33.6102	0.838	
33.6104	0.839	
33.6106	0.838	
33.6108	0.838	
33.6110	0.838	
33.6112	0.840	
33.6114	0.838	
33.6116	0.837	
33.6118	0.837	
33.6120	0.839	
33.6122	0.838	
33.6124	0.837	
33.6126	0.838	
33.6128	0.837	
33.6130	0.838	
33.6132	0.838	
33.6134	0.838	
33.6136	0.837	
33.6138	0.838	
33.6140	0.838	
33.6142	0.839	
33.6144	0.838	
33.6146	0.838	
33.6148	0.838	
33.6150	0.837	
33.6152	0.838	
33.6154	0.838	
33.6156	0.838	
33.6158	0.838	
33.6160	0.838	
33.6162	0.838	
33.6164	0.837	
33.6166	0.838	
33.6168	0.837	
33.6170	0.838	
33.6172	0.838	
33.6174	0.838	
33.6176	0.837	
33.6178	0.838	
33.6180	0.839	
33.6182	0.839	
33.6184	0.838	
33.6186	0.837	
33.6188	0.838	
33.6190	0.838	
33.6192	0.838	
33.6194	0.839	
33.6196	0.838	
33.6198	0.837	
33.6200	0.838	
33.6202	0.839	
33.6204	0.838	
33.6206	0.839	
33.6208	0.839	
33.6210	0.839	
33.6212	0.838	
33.6214	0.838	
33.6216	0.839	
33.6218	0.839	
33.6220	0.839	
33.6222	0.839	
33.6224	0.839	
33.6226	0.839	
33.6228	0.838	
33.6230	0.839	
33.6232	0.838	
33.6234	0.839	
33.6236	0.838	
33.6238	0.838	
33.6240	0.837	
33.6242	0.839	
33.6244	0.838	
33.6246	0.838	
33.6248	0.839	
33.6250	0.838	
33.6252	0.839	
33.6254	0.838	
33.6256	0.839	
33.6258	0.839	
33.6260	0.838	
33.6262	0.839	
33.6264	0.841	
33.6266	0.839	
33.6268	0.839	
33.6270	0.839	
33.6272	0.839	
33.6274	0.838	
33.6276	0.839	
33.6278	0.838	
33.6280	0.839	
33.6282	0.839	
33.6284	0.839	
33.6286	0.839	
33.6288	0.839	
33.6290	0.839	
33.6292	0.839	
33.6294	0.840	
33.6296	0.839	
33.6298	0.840	
33.6300	0.839	
33.6302	0.839	
33.6304	0.838	
33.6306	0.838	
33.6308	0.839	
33.6310	0.839	
33.6312	0.839	
33.6314	0.838	
33.6316	0.838	
33.6318	0.840	
33.6320	0.839	
33.6322	0.838	
33.6324	0.837	
33.6326	0.838	
33.6328	0.838	
33.6330	0.838	
33.6332	0.838	
33.6334	0.839	
33.6336	0.838	
33.6338	0.838	
33.6340	0.838	
33.6342	0.838	
33.6344	0.838	
33.6346	0.838	
33.6348	0.838	
33.6350	0.838	
33.6352	0.838	
33.6354	0.838	
33.6356	0.838	
33.6358	0.837	
33.6360	0.838	
33.6362	0.838	
33.6364	0.837	
33.6366	0.837	
33.6368	0.837	
33.6370	0.837	
33.6372	0.839	
33.6374	0.838	
33.6376	0.838	
33.6378	0.839	
33.6380	0.838	
33.6382	0.836	
33.6384	0.838	
33.6386	0.838	
33.6388	0.838	
33.6390	0.839	
33.6392	0.838	
33.6394	0.839	
33.6396	0.838	
33.6398	0.839	
33.6400	0.838	
33.6402	0.838	
33.6404	0.838	
33.6406	0.838	
33.6408	0.838	
33.6410	0.838	
33.6412	0.838	
33.6414	0.836	
33.6416	0.839	
33.6418	0.838	
33.6420	0.839	
33.6422	0.838	
33.6424	0.837	
33.6426	0.838	
33.6428	0.839	
33.6430	0.837	
33.6432	0.838	
33.6434	0.839	
33.6436	0.838	
33.6438	0.838	
33.6440	0.838	
33.6442	0.839	
33.6444	0.838	
33.6446	0.838	
33.6448	0.838	
33.6450	0.839	
33.6452	0.839	
33.6454	0.839	
33.6456	0.838	
33.6458	0.839	
33.6460	0.839	
33.6462	0.839	
33.6464	0.839	
33.6466	0.838	
33.6468	0.838	
33.6470	0.839	
33.6472	0.839	
33.6474	0.839	
33.6476	0.838	
33.6478	0.839	
33.6480	0.838	
33.6482	0.839	
33.6484	0.839	
33.6486	0.839	
33.6488	0.839	
33.6490	0.837	
33.6492	0.839	
33.6494	0.839	
33.6496	0.839	
33.6498	0.838	
33.6500	0.838	
33.6502	0.838	
33.6504	0.838	
33.6506	0.839	
33.6508	0.839	
33.6510	0.838	
33.6512	0.839	
33.6514	0.839	
33.6516	0.839	
33.6518	0.838	
33.6520	0.839	
33.6522	0.839	
33.6524	0.839	
33.6526	0.840	
33.6528	0.839	
33.6530	0.839	
33.6532	0.839	
33.6534	0.839	
33.6536	0.838	
33.6538	0.839	
33.6540	0.838	
33.6542	0.838	
33.6544	0.839	
33.6546	0.838	
33.6548	0.838	
33.6550	0.838	
33.6552	0.839	
33.6554	0.838	
33.6556	0.838	
33.6558	0.837	
33.6560	0.837	
33.6562	0.838	
33.6564	0.838	
33.6566	0.837	
33.6568	0.837	
33.6570	0.837	
33.6572	0.837	
33.6574	0.837	
33.6576	0.838	
33.6578	0.837	
33.6580	0.838	
33.6582	0.838	
33.6584	0.837	
33.6586	0.837	
33.6588	0.837	
33.6590	0.838	
33.6592	0.838	
33.6594	0.838	
33.6596	0.838	
33.6598	0.838	
33.6600	0.837	
33.6602	0.837	
33.6604	0.838	
33.6606	0.837	
33.6608	0.837	
33.6610	0.838	
33.6612	0.838	
33.6614	0.839	
33.6616	0.838	
33.6618	0.838	
33.6620	0.838	
33.6622	0.838	
33.6624	0.838	
33.6626	0.837	
33.6628	0.839	
33.6630	0.838	
33.6632	0.837	
33.6634	0.836	
33.6636	0.838	
33.6638	0.837	
33.6640	0.837	
33.6642	0.838	
33.6644	0.838	
33.6646	0.838	
33.6648	0.838	
33.6650	0.838	
33.6652	0.838	
33.6654	0.838	
33.6656	0.839	
33.6658	0.838	
33.6660	0.838	
33.6662	0.838	
33.6664	0.838	
33.6666	0.839	
33.6668	0.839	
33.6670	0.839	
33.6672	0.838	
33.6674	0.838	
33.6676	0.839	
33.6678	0.838	
33.6680	0.839	
33.6682	0.839	
33.6684	0.839	
33.6686	0.838	
33.6688	0.838	
33.6690	0.839	
33.6692	0.838	
33.6694	0.839	
33.6696	0.838	
33.6698	0.839	
33.6700	0.837	
33.6702	0.838	
33.6704	0.839	
33.6706	0.839	
33.6708	0.838	
33.6710	0.837	
33.6712	0.839	
33.6714	0.837	
33.6716	0.837	
33.6718	0.838	
33.6720	0.838	
33.6722	0.836	
33.6724	0.838	
33.6726	0.839	
33.6728	0.838	
33.6730	0.839	
33.6732	0.839	
33.6734	0.839	
