Elapsed Time[s]	Write 0 [deg]	Write 1 [A]	Write 2 [A]	
0.0000	299.120	0.003	0.016	
0.0005	299.120	0.004	0.016	
0.0010	298.416	0.004	0.016	
0.0015	298.416	0.004	0.017	
0.0020	298.065	0.003	0.016	
0.0025	298.065	0.003	0.017	
0.0030	298.065	0.003	0.018	
0.0035	298.065	0.002	0.016	
0.0040	298.065	0.004	0.016	
0.0045	298.065	0.001	0.015	
0.0050	298.065	0.003	0.016	
0.0055	298.065	0.003	0.016	
0.0060	298.065	0.003	0.016	
0.0065	298.065	0.003	0.016	
0.0070	298.065	0.002	0.016	
0.0075	298.065	0.003	0.015	
0.0080	298.416	-0.000	0.016	
0.0085	298.416	0.003	0.017	
0.0090	298.416	0.003	0.014	
0.0095	298.768	0.004	0.018	
0.0100	299.120	0.003	0.020	
0.0105	299.120	0.004	0.021	
0.0110	299.120	0.003	0.021	
0.0115	299.120	0.003	0.024	
0.0120	298.416	0.004	0.025	
0.0125	298.416	0.003	0.027	
0.0130	300.880	0.003	0.030	
0.0135	300.880	0.004	0.032	
0.0140	300.528	0.003	0.034	
0.0145	300.176	0.003	0.039	
0.0150	300.176	0.006	0.038	
0.0155	300.880	0.003	0.039	
0.0160	300.880	0.004	0.040	
0.0165	301.232	0.004	0.042	
0.0170	301.232	0.003	0.045	
0.0175	301.584	0.004	0.043	
0.0180	301.935	0.003	0.040	
0.0185	301.935	0.003	0.044	
0.0190	301.935	0.003	0.043	
0.0195	301.232	0.002	0.039	
0.0200	301.232	0.003	0.037	
0.0205	301.232	0.003	0.035	
0.0210	303.695	0.003	0.033	
0.0215	303.695	0.003	0.030	
0.0220	303.695	0.003	0.192	
0.0225	303.695	-0.001	0.257	
0.0230	303.695	0.003	0.276	
0.0235	303.695	0.002	0.272	
0.0240	303.343	0.002	0.258	
0.0245	302.991	0.002	0.240	
0.0250	302.991	0.000	0.221	
0.0255	302.991	0.003	0.202	
0.0260	302.991	0.003	0.185	
0.0265	303.695	0.003	0.167	
0.0270	304.047	0.002	0.151	
0.0275	304.047	0.002	0.135	
0.0280	304.751	0.003	0.121	
0.0285	304.047	0.003	0.106	
0.0290	304.047	-0.000	0.092	
0.0295	305.806	0.003	0.078	
0.0300	305.806	0.003	0.063	
0.0305	306.510	0.004	0.051	
0.0310	307.566	0.003	0.042	
0.0315	307.566	0.003	0.031	
0.0320	309.326	0.003	0.024	
0.0325	308.622	0.004	0.019	
0.0330	309.326	0.003	0.016	
0.0335	309.677	0.004	0.017	
0.0340	310.381	0.004	0.016	
0.0345	309.677	0.003	0.017	
0.0350	311.437	0.003	0.017	
0.0355	312.141	0.004	0.017	
0.0360	312.493	0.004	0.016	
0.0365	313.196	0.003	0.016	
0.0370	314.956	0.002	0.016	
0.0375	314.252	0.003	0.017	
0.0380	314.956	0.003	0.016	
0.0385	315.308	-0.000	0.015	
0.0390	316.012	0.003	0.016	
0.0395	315.308	0.002	0.016	
0.0400	317.067	0.004	0.016	
0.0405	317.067	0.004	0.017	
0.0410	317.771	0.003	0.016	
0.0415	318.123	0.003	0.016	
0.0420	318.827	0.004	0.016	
0.0425	318.827	0.003	0.016	
0.0430	318.123	0.003	0.016	
0.0435	320.587	0.003	0.016	
0.0440	320.587	0.003	0.016	
0.0445	319.883	0.005	0.015	
0.0450	319.883	0.001	0.015	
0.0455	319.883	0.003	0.016	
0.0460	320.587	0.003	0.016	
0.0465	320.587	0.002	0.016	
0.0470	320.587	0.003	0.014	
0.0475	320.938	0.003	0.015	
0.0480	320.938	0.002	0.016	
0.0485	320.938	0.004	0.017	
0.0490	320.938	0.004	0.016	
0.0495	320.938	0.003	0.016	
0.0500	320.938	0.003	0.015	
0.0505	320.938	0.004	0.013	
0.0510	320.938	0.002	0.015	
0.0515	320.938	0.003	0.016	
0.0520	320.938	0.003	0.016	
0.0525	320.587	0.004	0.016	
0.0530	320.587	0.004	0.016	
0.0535	320.587	0.004	0.016	
0.0540	320.587	0.004	0.017	
0.0545	320.235	0.004	0.016	
0.0550	319.883	0.004	0.017	
0.0555	319.883	0.004	0.016	
0.0560	319.883	0.004	0.016	
0.0565	319.883	0.008	0.016	
0.0570	320.587	0.008	0.015	
0.0575	318.123	0.009	0.016	
0.0580	318.123	0.010	0.016	
