Elapsed Time[s]	Write 0 [A]	
0.0000	-0.705	
0.0002	-0.705	
0.0004	-0.705	
0.0006	-0.705	
0.0008	-0.707	
0.0010	-0.705	
0.0012	-0.705	
0.0014	-0.704	
0.0016	-0.704	
0.0018	-0.705	
0.0020	-0.705	
0.0022	-0.704	
0.0024	-0.705	
0.0026	-0.706	
0.0028	-0.705	
0.0030	-0.705	
0.0032	-0.705	
0.0034	-0.705	
0.0036	-0.705	
0.0038	-0.706	
0.0040	-0.705	
0.0042	-0.705	
0.0044	-0.705	
0.0046	-0.704	
0.0048	-0.705	
0.0050	-0.705	
0.0052	-0.704	
0.0054	-0.705	
0.0056	-0.705	
0.0058	-0.703	
0.0060	-0.704	
0.0062	-0.704	
0.0064	-0.705	
0.0066	-0.705	
0.0068	-0.705	
0.0070	-0.705	
0.0072	-0.705	
0.0074	-0.704	
0.0076	-0.704	
0.0078	-0.704	
0.0080	-0.705	
0.0082	-0.703	
0.0084	-0.704	
0.0086	-0.704	
0.0088	-0.704	
0.0090	-0.704	
0.0092	-0.704	
0.0094	-0.704	
0.0096	-0.705	
0.0098	-0.704	
0.0100	-0.704	
0.0102	-0.705	
0.0104	-0.704	
0.0106	-0.704	
0.0108	-0.704	
0.0110	-0.704	
0.0112	-0.704	
0.0114	-0.705	
0.0116	-0.704	
0.0118	-0.705	
0.0120	-0.703	
0.0122	-0.704	
0.0124	-0.704	
0.0126	-0.705	
0.0128	-0.705	
0.0130	-0.704	
0.0132	-0.704	
0.0134	-0.704	
0.0136	-0.705	
0.0138	-0.707	
0.0140	-0.705	
0.0142	-0.705	
0.0144	-0.704	
0.0146	-0.706	
0.0148	-0.704	
0.0150	-0.705	
0.0152	-0.706	
0.0154	-0.704	
0.0156	-0.704	
0.0158	-0.705	
0.0160	-0.704	
0.0162	-0.704	
0.0164	-0.704	
0.0166	-0.704	
0.0168	-0.704	
0.0170	-0.704	
0.0172	-0.704	
0.0174	-0.704	
0.0176	-0.704	
0.0178	-0.705	
0.0180	-0.705	
0.0182	-0.704	
0.0184	-0.704	
0.0186	-0.705	
0.0188	-0.705	
0.0190	-0.705	
0.0192	-0.706	
0.0194	-0.704	
0.0196	-0.705	
0.0198	-0.705	
0.0200	-0.705	
0.0202	-0.707	
0.0204	-0.704	
0.0206	-0.704	
0.0208	-0.706	
0.0210	-0.704	
0.0212	-0.704	
0.0214	-0.705	
0.0216	-0.707	
0.0218	-0.704	
0.0220	-0.704	
0.0222	-0.703	
0.0224	-0.704	
0.0226	-0.707	
0.0228	-0.704	
0.0230	-0.704	
0.0232	-0.705	
0.0234	-0.702	
0.0236	-0.701	
0.0238	-0.705	
0.0240	-0.703	
0.0242	-0.702	
0.0244	-0.704	
0.0246	-0.706	
0.0248	-0.704	
0.0250	-0.704	
0.0252	-0.705	
0.0254	-0.705	
0.0256	-0.705	
0.0258	-0.703	
0.0260	-0.704	
0.0262	-0.705	
0.0264	-0.705	
0.0266	-0.704	
0.0268	-0.704	
0.0270	-0.704	
0.0272	-0.704	
0.0274	-0.704	
0.0276	-0.705	
0.0278	-0.704	
0.0280	-0.704	
0.0282	-0.704	
0.0284	-0.704	
0.0286	-0.704	
0.0288	-0.704	
0.0290	-0.704	
0.0292	-0.704	
0.0294	-0.704	
0.0296	-0.703	
0.0298	-0.704	
0.0300	-0.704	
0.0302	-0.704	
0.0304	-0.704	
0.0306	-0.703	
0.0308	-0.704	
0.0310	-0.704	
0.0312	-0.705	
0.0314	-0.704	
0.0316	-0.704	
0.0318	-0.705	
0.0320	-0.705	
0.0322	-0.705	
0.0324	-0.703	
0.0326	-0.705	
0.0328	-0.707	
0.0330	-0.704	
0.0332	-0.704	
0.0334	-0.705	
0.0336	-0.704	
0.0338	-0.704	
0.0340	-0.704	
0.0342	-0.705	
0.0344	-0.704	
0.0346	-0.704	
0.0348	-0.707	
0.0350	-0.704	
0.0352	-0.704	
0.0354	-0.704	
0.0356	-0.705	
0.0358	-0.704	
0.0360	-0.704	
0.0362	-0.704	
0.0364	-0.704	
0.0366	-0.704	
0.0368	-0.704	
0.0370	-0.704	
0.0372	-0.704	
0.0374	-0.705	
0.0376	-0.704	
0.0378	-0.704	
0.0380	-0.704	
0.0382	-0.704	
0.0384	-0.705	
0.0386	-0.705	
0.0388	-0.704	
0.0390	-0.705	
0.0392	-0.705	
0.0394	-0.703	
0.0396	-0.705	
0.0398	-0.705	
0.0400	-0.705	
0.0402	-0.704	
0.0404	-0.705	
0.0406	-0.705	
0.0408	-0.704	
0.0410	-0.706	
0.0412	-0.704	
0.0414	-0.706	
0.0416	-0.705	
0.0418	-0.704	
0.0420	-0.704	
0.0422	-0.703	
0.0424	-0.705	
0.0426	-0.703	
0.0428	-0.704	
0.0430	-0.704	
0.0432	-0.703	
0.0434	-0.704	
0.0436	-0.705	
0.0438	-0.705	
0.0440	-0.705	
0.0442	-0.708	
0.0444	-0.705	
0.0446	-0.704	
0.0448	-0.704	
0.0450	-0.704	
0.0452	-0.703	
0.0454	-0.701	
0.0456	-0.704	
0.0458	-0.704	
0.0460	-0.704	
0.0462	-0.702	
0.0464	-0.704	
0.0466	-0.704	
0.0468	-0.703	
0.0470	-0.705	
0.0472	-0.704	
0.0474	-0.704	
0.0476	-0.704	
0.0478	-0.704	
0.0480	-0.704	
0.0482	-0.704	
0.0484	-0.705	
0.0486	-0.704	
0.0488	-0.704	
0.0490	-0.704	
0.0492	-0.704	
0.0494	-0.705	
0.0496	-0.704	
0.0498	-0.707	
0.0500	-0.704	
0.0502	-0.704	
0.0504	-0.704	
0.0506	-0.704	
0.0508	-0.704	
0.0510	-0.704	
0.0512	-0.701	
0.0514	-0.705	
0.0516	-0.703	
0.0518	-0.704	
0.0520	-0.705	
0.0522	-0.705	
0.0524	-0.705	
0.0526	-0.702	
0.0528	-0.702	
0.0530	-0.705	
0.0532	-0.705	
0.0534	-0.704	
0.0536	-0.704	
0.0538	-0.706	
0.0540	-0.705	
0.0542	-0.707	
0.0544	-0.705	
0.0546	-0.706	
0.0548	-0.707	
0.0550	-0.704	
0.0552	-0.704	
0.0554	-0.705	
0.0556	-0.704	
0.0558	-0.704	
0.0560	-0.704	
0.0562	-0.704	
0.0564	-0.705	
0.0566	-0.704	
0.0568	-0.704	
0.0570	-0.704	
0.0572	-0.704	
0.0574	-0.704	
0.0576	-0.704	
0.0578	-0.705	
0.0580	-0.704	
0.0582	-0.705	
0.0584	-0.705	
0.0586	-0.705	
0.0588	-0.704	
0.0590	-0.701	
0.0592	-0.704	
0.0594	-0.706	
0.0596	-0.705	
0.0598	-0.704	
0.0600	-0.702	
0.0602	-0.705	
0.0604	-0.706	
0.0606	-0.705	
0.0608	-0.705	
0.0610	-0.705	
0.0612	-0.704	
0.0614	-0.706	
0.0616	-0.705	
0.0618	-0.704	
0.0620	-0.704	
0.0622	-0.704	
0.0624	-0.704	
0.0626	-0.704	
0.0628	-0.704	
0.0630	-0.704	
0.0632	-0.704	
0.0634	-0.704	
0.0636	-0.705	
0.0638	-0.702	
0.0640	-0.708	
0.0642	-0.703	
0.0644	-0.703	
0.0646	-0.706	
0.0648	-0.704	
0.0650	-0.703	
0.0652	-0.704	
0.0654	-0.705	
0.0656	-0.704	
0.0658	-0.703	
0.0660	-0.704	
0.0662	-0.702	
0.0664	-0.704	
0.0666	-0.701	
0.0668	-0.704	
0.0670	-0.704	
0.0672	-0.704	
0.0674	-0.705	
0.0676	-0.704	
0.0678	-0.704	
0.0680	-0.704	
0.0682	-0.704	
0.0684	-0.704	
0.0686	-0.704	
0.0688	-0.704	
0.0690	-0.704	
0.0692	-0.704	
0.0694	-0.703	
0.0696	-0.704	
0.0698	-0.704	
0.0700	-0.703	
0.0702	-0.704	
0.0704	-0.703	
0.0706	-0.704	
0.0708	-0.704	
0.0710	-0.703	
0.0712	-0.704	
0.0714	-0.704	
0.0716	-0.705	
0.0718	-0.705	
0.0720	-0.704	
0.0722	-0.704	
0.0724	-0.704	
0.0726	-0.704	
0.0728	-0.704	
0.0730	-0.704	
0.0732	-0.704	
0.0734	-0.703	
0.0736	-0.705	
0.0738	-0.705	
0.0740	-0.704	
0.0742	-0.704	
0.0744	-0.703	
0.0746	-0.704	
0.0748	-0.704	
0.0750	-0.704	
0.0752	-0.704	
0.0754	-0.704	
0.0756	-0.704	
0.0758	-0.706	
0.0760	-0.704	
0.0762	-0.704	
0.0764	-0.705	
0.0766	-0.704	
0.0768	-0.704	
0.0770	-0.704	
0.0772	-0.704	
0.0774	-0.707	
0.0776	-0.704	
0.0778	-0.704	
0.0780	-0.705	
0.0782	-0.704	
0.0784	-0.704	
0.0786	-0.704	
0.0788	-0.704	
0.0790	-0.704	
0.0792	-0.704	
0.0794	-0.705	
0.0796	-0.707	
0.0798	-0.705	
0.0800	-0.703	
0.0802	-0.705	
0.0804	-0.705	
0.0806	-0.703	
0.0808	-0.705	
0.0810	-0.705	
0.0812	-0.707	
0.0814	-0.704	
0.0816	-0.705	
0.0818	-0.704	
0.0820	-0.704	
0.0822	-0.705	
0.0824	-0.705	
0.0826	-0.704	
0.0828	-0.705	
0.0830	-0.705	
0.0832	-0.705	
0.0834	-0.704	
0.0836	-0.705	
0.0838	-0.705	
0.0840	-0.704	
0.0842	-0.704	
0.0844	-0.705	
0.0846	-0.704	
0.0848	-0.704	
0.0850	-0.705	
0.0852	-0.705	
0.0854	-0.703	
0.0856	-0.704	
0.0858	-0.705	
0.0860	-0.707	
0.0862	-0.704	
0.0864	-0.705	
0.0866	-0.705	
0.0868	-0.705	
0.0870	-0.705	
0.0872	-0.703	
0.0874	-0.704	
0.0876	-0.705	
0.0878	-0.700	
0.0880	-0.704	
0.0882	-0.704	
0.0884	-0.704	
0.0886	-0.701	
0.0888	-0.704	
0.0890	-0.707	
0.0892	-0.704	
0.0894	-0.703	
0.0896	-0.704	
0.0898	-0.704	
0.0900	-0.704	
0.0902	-0.704	
0.0904	-0.704	
0.0906	-0.705	
0.0908	-0.703	
0.0910	-0.704	
0.0912	-0.704	
0.0914	-0.704	
0.0916	-0.704	
0.0918	-0.703	
0.0920	-0.702	
0.0922	-0.704	
0.0924	-0.704	
0.0926	-0.704	
0.0928	-0.705	
0.0930	-0.704	
0.0932	-0.707	
0.0934	-0.706	
0.0936	-0.705	
0.0938	-0.704	
0.0940	-0.704	
0.0942	-0.704	
0.0944	-0.704	
0.0946	-0.705	
0.0948	-0.704	
0.0950	-0.705	
0.0952	-0.704	
0.0954	-0.705	
0.0956	-0.704	
0.0958	-0.704	
0.0960	-0.705	
0.0962	-0.704	
0.0964	-0.704	
0.0966	-0.704	
0.0968	-0.704	
0.0970	-0.704	
0.0972	-0.704	
0.0974	-0.704	
0.0976	-0.704	
0.0978	-0.704	
0.0980	-0.705	
0.0982	-0.705	
0.0984	-0.704	
0.0986	-0.704	
0.0988	-0.705	
0.0990	-0.705	
0.0992	-0.705	
0.0994	-0.705	
0.0996	-0.704	
0.0998	-0.704	
0.1000	-0.705	
0.1002	-0.705	
0.1004	-0.705	
0.1006	-0.705	
0.1008	-0.705	
0.1010	-0.705	
0.1012	-0.704	
0.1014	-0.705	
0.1016	-0.705	
0.1018	-0.702	
0.1020	-0.705	
0.1022	-0.705	
0.1024	-0.705	
0.1026	-0.704	
0.1028	-0.705	
0.1030	-0.705	
0.1032	-0.705	
0.1034	-0.705	
0.1036	-0.705	
0.1038	-0.705	
0.1040	-0.704	
0.1042	-0.705	
0.1044	-0.704	
0.1046	-0.704	
0.1048	-0.708	
0.1050	-0.705	
0.1052	-0.705	
0.1054	-0.705	
0.1056	-0.705	
0.1058	-0.705	
0.1060	-0.705	
0.1062	-0.705	
0.1064	-0.704	
0.1066	-0.705	
0.1068	-0.705	
0.1070	-0.701	
0.1072	-0.705	
0.1074	-0.702	
0.1076	-0.704	
0.1078	-0.705	
0.1080	-0.704	
0.1082	-0.704	
0.1084	-0.704	
0.1086	-0.704	
0.1088	-0.704	
0.1090	-0.704	
0.1092	-0.704	
0.1094	-0.704	
0.1096	-0.704	
0.1098	-0.704	
0.1100	-0.704	
0.1102	-0.704	
0.1104	-0.704	
0.1106	-0.704	
0.1108	-0.704	
0.1110	-0.705	
0.1112	-0.704	
0.1114	-0.704	
0.1116	-0.703	
0.1118	-0.704	
0.1120	-0.704	
0.1122	-0.704	
0.1124	-0.704	
0.1126	-0.707	
0.1128	-0.705	
0.1130	-0.704	
0.1132	-0.704	
0.1134	-0.706	
0.1136	-0.704	
0.1138	-0.705	
0.1140	-0.704	
0.1142	-0.703	
0.1144	-0.702	
0.1146	-0.704	
0.1148	-0.704	
0.1150	-0.704	
0.1152	-0.705	
0.1154	-0.704	
0.1156	-0.704	
0.1158	-0.704	
0.1160	-0.704	
0.1162	-0.704	
0.1164	-0.704	
0.1166	-0.704	
0.1168	-0.704	
0.1170	-0.704	
0.1172	-0.704	
0.1174	-0.704	
0.1176	-0.704	
0.1178	-0.704	
0.1180	-0.704	
0.1182	-0.704	
