Elapsed Time[s]	Write 0 [deg]	Write 1 [A]	Write 2 [A]	
0.0000	177.713	0.002	0.954	
0.0005	178.065	0.003	0.954	
0.0010	178.065	0.002	0.954	
0.0015	178.065	0.003	0.954	
0.0020	178.065	0.002	0.954	
0.0025	178.065	0.003	0.954	
0.0030	178.065	0.001	0.954	
0.0035	178.065	0.002	0.954	
0.0040	178.065	0.002	0.954	
0.0045	178.065	0.002	0.954	
0.0050	178.065	0.004	0.954	
0.0055	178.065	0.002	0.953	
0.0060	178.065	0.003	0.954	
0.0065	178.065	0.002	0.952	
0.0070	178.065	0.002	0.955	
0.0075	178.065	0.002	0.953	
0.0080	178.065	0.002	0.953	
0.0085	178.065	0.006	0.954	
0.0090	178.065	0.004	0.954	
0.0095	178.065	0.003	0.953	
0.0100	178.065	0.002	0.954	
0.0105	178.065	0.002	0.953	
0.0110	178.065	0.002	0.953	
0.0115	178.065	0.003	0.954	
0.0120	178.065	0.003	0.953	
0.0125	178.065	0.004	0.954	
0.0130	178.065	0.005	0.954	
0.0135	178.065	0.003	0.953	
0.0140	178.065	0.003	0.954	
0.0145	178.065	0.003	0.954	
0.0150	178.065	0.003	0.954	
0.0155	178.065	0.004	0.954	
0.0160	178.065	0.003	0.954	
0.0165	178.065	0.002	0.954	
0.0170	178.065	0.001	0.953	
0.0175	178.065	0.003	0.955	
0.0180	178.065	0.003	0.954	
0.0185	178.065	0.002	0.954	
0.0190	178.065	0.003	0.954	
0.0195	178.065	0.002	0.953	
0.0200	178.065	0.003	0.954	
0.0205	178.065	0.003	0.954	
0.0210	178.065	0.003	0.954	
0.0215	178.065	0.003	0.954	
0.0220	178.065	0.002	0.954	
0.0225	178.065	0.007	0.954	
0.0230	178.065	0.003	0.955	
0.0235	178.065	0.003	0.954	
0.0240	178.065	0.002	0.953	
0.0245	178.065	0.002	0.954	
0.0250	178.065	0.002	0.953	
0.0255	178.065	0.004	0.953	
0.0260	178.065	0.003	0.953	
0.0265	178.065	0.003	0.954	
0.0270	178.065	0.003	0.952	
0.0275	178.065	0.003	0.953	
0.0280	178.065	0.003	0.953	
0.0285	178.065	0.005	0.954	
0.0290	178.065	0.002	0.953	
0.0295	178.065	0.003	0.953	
0.0300	178.065	0.004	0.954	
0.0305	178.065	0.001	0.953	
0.0310	178.065	0.003	0.954	
0.0315	178.065	0.003	0.955	
0.0320	178.065	0.003	0.953	
0.0325	178.065	0.003	0.953	
0.0330	178.065	0.003	0.954	
0.0335	178.065	0.005	0.954	
