Elapsed Time[s]	Write 0 [deg]	Write 1 [A]	Write 2 [A]	
3.5840	244.223	0.261	0.287	
3.5845	243.871	0.260	0.225	
3.5850	243.871	0.254	0.182	
3.5855	244.575	0.246	0.155	
3.5860	244.575	0.230	0.136	
3.5865	244.927	0.217	0.123	
3.5870	245.279	0.203	0.111	
3.5875	245.630	0.190	0.101	
3.5880	244.927	0.084	0.195	
3.5885	244.927	0.004	0.279	
3.5890	247.390	0.004	0.274	
3.5895	247.038	0.005	0.262	
3.5900	246.686	0.005	0.246	
3.5905	246.686	0.004	0.230	
3.5910	247.390	0.003	0.213	
3.5915	247.390	0.007	0.194	
3.5920	247.390	0.011	0.175	
3.5925	247.742	0.014	0.156	
3.5930	247.742	0.017	0.144	
3.5935	247.390	0.209	0.017	
3.5940	247.390	0.293	0.016	
3.5945	247.390	0.363	0.016	
3.5950	247.038	0.419	0.016	
3.5955	246.686	0.470	0.016	
3.5960	246.686	0.523	0.016	
3.5965	247.390	0.572	0.015	
3.5970	247.390	0.623	0.016	
3.5975	244.927	0.665	0.016	
3.5980	245.630	0.702	0.019	
3.5985	245.630	0.674	0.072	
3.5990	244.927	0.360	0.318	
3.5995	244.575	0.231	0.466	
3.6000	243.871	0.169	0.574	
3.6005	243.871	0.135	0.654	
3.6010	243.871	0.116	0.712	
3.6015	244.575	0.105	0.754	
3.6020	244.575	0.097	0.784	
3.6025	244.575	0.091	0.806	
3.6030	244.575	0.083	0.818	
3.6035	242.111	0.081	0.825	
3.6040	244.575	0.207	0.592	
3.6045	244.575	0.244	0.421	
3.6050	244.223	0.258	0.314	
3.6055	243.871	0.261	0.241	
3.6060	243.871	0.257	0.195	
3.6065	244.575	0.246	0.162	
3.6070	244.575	0.237	0.140	
3.6075	244.927	0.220	0.127	
3.6080	245.279	0.208	0.115	
3.6085	245.630	0.194	0.104	
3.6090	245.630	0.183	0.095	
3.6095	244.927	0.005	0.280	
3.6100	244.927	0.004	0.278	
3.6105	246.686	0.004	0.266	
3.6110	246.686	0.004	0.249	
3.6115	246.686	0.002	0.234	
3.6120	247.390	0.005	0.217	
3.6125	247.390	0.005	0.201	
3.6130	247.390	0.006	0.180	
3.6135	247.390	0.014	0.161	
3.6140	247.742	0.017	0.147	
3.6145	247.390	0.184	0.016	
3.6150	247.390	0.279	0.018	
3.6155	247.390	0.350	0.016	
3.6160	247.038	0.408	0.016	
