Elapsed Time[s]	Write 0 [deg]	Write 1 [A]	Write 2 [A]	
0.0000	131.261	0.004	0.009	
0.0005	131.261	0.004	0.010	
0.0010	131.261	0.004	0.010	
0.0015	131.261	0.003	0.010	
0.0020	131.261	-0.001	0.009	
0.0025	131.261	0.003	0.009	
0.0030	131.261	0.003	0.010	
0.0035	131.261	0.000	0.008	
0.0040	131.261	0.003	0.008	
0.0045	131.261	0.001	0.009	
0.0050	131.261	0.003	0.008	
0.0055	131.261	0.002	0.006	
0.0060	131.261	0.001	0.009	
0.0065	131.261	0.003	0.006	
0.0070	131.261	0.000	0.009	
0.0075	131.261	0.001	0.009	
0.0080	131.261	0.001	0.009	
0.0085	131.261	0.001	0.010	
0.0090	131.261	0.004	0.009	
0.0095	131.261	0.002	0.009	
0.0100	131.261	0.001	0.008	
0.0105	131.261	0.004	0.008	
0.0110	131.261	0.006	0.010	
0.0115	131.261	0.000	0.009	
0.0120	131.261	0.003	0.009	
0.0125	131.261	0.003	0.011	
0.0130	131.261	0.003	0.009	
0.0135	131.261	0.003	0.009	
0.0140	131.261	0.002	0.009	
0.0145	131.261	0.004	0.010	
0.0150	131.261	0.003	0.010	
0.0155	131.261	0.004	0.009	
0.0160	131.261	-0.000	0.009	
0.0165	131.261	0.003	0.009	
0.0170	131.261	0.002	0.008	
0.0175	131.261	0.004	0.009	
0.0180	131.261	0.002	0.009	
0.0185	131.261	0.003	0.008	
0.0190	131.261	0.004	0.009	
0.0195	131.261	0.004	0.009	
0.0200	131.261	0.004	0.010	
0.0205	131.261	0.003	0.009	
0.0210	131.261	0.004	0.009	
0.0215	131.261	0.003	0.008	
0.0220	131.261	0.003	0.010	
0.0225	131.261	0.003	0.009	
0.0230	131.261	0.003	0.009	
0.0235	131.261	0.002	0.009	
0.0240	131.261	0.002	0.008	
0.0245	131.261	0.003	0.009	
0.0250	131.261	0.002	0.005	
0.0255	131.261	0.004	0.009	
0.0260	131.261	0.003	0.009	
0.0265	131.261	0.004	0.009	
0.0270	131.261	0.004	0.009	
0.0275	131.261	0.003	0.006	
0.0280	131.261	0.005	0.010	
0.0285	131.261	-0.001	0.009	
0.0290	131.261	0.002	0.009	
0.0295	131.261	0.002	0.009	
