Elapsed Time[s]	Write 0 [deg]	Write 1 [A]	Write 2 [A]	
0.0000	115.073	0.230	0.242	
0.0005	115.073	0.229	0.242	
0.0010	115.073	0.229	0.242	
0.0015	115.073	0.229	0.242	
0.0020	115.073	0.229	0.242	
0.0025	115.073	0.229	0.242	
0.0030	115.073	0.229	0.241	
0.0035	115.073	0.228	0.241	
0.0040	115.073	0.229	0.241	
0.0045	115.073	0.228	0.241	
0.0050	115.073	0.229	0.240	
0.0055	115.073	0.228	0.241	
0.0060	115.073	0.231	0.241	
0.0065	115.073	0.229	0.237	
0.0070	115.073	0.230	0.241	
0.0075	115.073	0.227	0.241	
0.0080	115.073	0.229	0.241	
0.0085	115.073	0.229	0.237	
0.0090	115.073	0.227	0.241	
0.0095	115.073	0.228	0.241	
0.0100	115.073	0.228	0.241	
0.0105	115.073	0.233	0.241	
0.0110	115.073	0.230	0.242	
0.0115	115.073	0.229	0.241	
0.0120	115.073	0.230	0.242	
0.0125	115.073	0.229	0.241	
0.0130	115.073	0.230	0.243	
0.0135	115.073	0.229	0.241	
0.0140	115.073	0.229	0.246	
0.0145	115.073	0.229	0.242	
0.0150	115.073	0.229	0.241	
0.0155	115.073	0.230	0.242	
0.0160	115.073	0.229	0.241	
0.0165	115.073	0.230	0.241	
0.0170	115.073	0.229	0.238	
0.0175	115.073	0.228	0.242	
0.0180	115.073	0.228	0.246	
0.0185	115.073	0.228	0.243	
0.0190	115.073	0.228	0.243	
0.0195	115.073	0.228	0.239	
0.0200	115.073	0.231	0.243	
0.0205	115.073	0.229	0.238	
0.0210	115.073	0.229	0.241	
0.0215	115.073	0.229	0.241	
0.0220	115.073	0.229	0.242	
0.0225	115.073	0.229	0.241	
0.0230	115.073	0.229	0.241	
0.0235	115.073	0.228	0.241	
0.0240	115.073	0.228	0.241	
0.0245	115.073	0.227	0.242	
0.0250	115.073	0.228	0.241	
0.0255	115.073	0.233	0.241	
0.0260	115.073	0.229	0.240	
0.0265	115.073	0.229	0.242	
0.0270	115.073	0.227	0.242	
0.0275	115.073	0.229	0.245	
0.0280	115.073	0.229	0.242	
0.0285	115.073	0.228	0.240	
0.0290	115.073	0.230	0.245	
0.0295	115.073	0.229	0.241	
0.0300	115.073	0.229	0.237	
0.0305	115.073	0.229	0.241	
0.0310	115.073	0.232	0.243	
0.0315	115.073	0.229	0.239	
0.0320	115.073	0.229	0.242	
0.0325	115.073	0.229	0.241	
0.0330	115.073	0.228	0.241	
0.0335	115.073	0.229	0.241	
0.0340	115.073	0.229	0.239	
0.0345	115.073	0.229	0.240	
0.0350	115.073	0.230	0.241	
0.0355	115.073	0.229	0.242	
0.0360	115.073	0.229	0.241	
0.0365	115.073	0.230	0.242	
0.0370	115.073	0.229	0.241	
0.0375	115.073	0.229	0.242	
0.0380	115.073	0.231	0.241	
0.0385	115.073	0.229	0.238	
0.0390	115.073	0.229	0.241	
0.0395	115.073	0.229	0.242	
0.0400	115.073	0.229	0.241	
0.0405	115.073	0.229	0.238	
0.0410	115.073	0.229	0.242	
0.0415	115.073	0.230	0.242	
0.0420	115.073	0.229	0.242	
0.0425	115.073	0.228	0.242	
0.0430	115.073	0.229	0.241	
0.0435	115.073	0.228	0.241	
0.0440	115.073	0.229	0.242	
0.0445	115.073	0.228	0.245	
0.0450	115.073	0.229	0.243	
0.0455	115.073	0.228	0.240	
0.0460	115.073	0.228	0.240	
0.0465	115.073	0.228	0.242	
0.0470	115.073	0.229	0.238	
0.0475	115.073	0.229	0.241	
0.0480	115.073	0.229	0.241	
0.0485	115.073	0.232	0.242	
0.0490	115.073	0.230	0.240	
0.0495	115.073	0.229	0.241	
0.0500	115.073	0.227	0.241	
0.0505	115.073	0.229	0.242	
0.0510	115.073	0.229	0.242	
0.0515	115.073	0.231	0.242	
0.0520	115.073	0.229	0.243	
0.0525	115.073	0.229	0.241	
0.0530	115.073	0.232	0.242	
0.0535	115.073	0.229	0.241	
0.0540	115.073	0.229	0.242	
0.0545	115.073	0.229	0.242	
0.0550	115.073	0.230	0.241	
0.0555	115.073	0.229	0.239	
0.0560	115.073	0.228	0.242	
0.0565	115.073	0.228	0.241	
0.0570	115.073	0.229	0.240	
0.0575	115.073	0.227	0.245	
0.0580	115.073	0.228	0.243	
0.0585	115.073	0.229	0.243	
0.0590	115.073	0.228	0.242	
0.0595	115.073	0.229	0.243	
0.0600	115.073	0.229	0.241	
0.0605	115.073	0.230	0.242	
0.0610	115.073	0.229	0.241	
0.0615	115.073	0.229	0.241	
0.0620	115.073	0.229	0.241	
0.0625	115.073	0.229	0.241	
0.0630	115.073	0.229	0.242	
0.0635	115.073	0.229	0.242	
0.0640	115.073	0.233	0.242	
0.0645	115.073	0.227	0.241	
0.0650	115.073	0.229	0.240	
0.0655	115.073	0.229	0.241	
0.0660	115.073	0.229	0.240	
0.0665	115.073	0.229	0.239	
0.0670	115.073	0.230	0.240	
0.0675	115.073	0.229	0.241	
0.0680	115.073	0.228	0.240	
0.0685	115.073	0.229	0.241	
0.0690	115.073	0.230	0.241	
0.0695	115.073	0.229	0.241	
0.0700	115.073	0.229	0.241	
0.0705	115.073	0.227	0.241	
0.0710	115.073	0.228	0.241	
0.0715	115.073	0.228	0.241	
0.0720	115.073	0.231	0.242	
0.0725	115.073	0.226	0.240	
0.0730	115.073	0.229	0.241	
0.0735	115.073	0.229	0.237	
0.0740	115.073	0.229	0.241	
0.0745	115.073	0.229	0.243	
0.0750	115.073	0.229	0.241	
0.0755	115.073	0.229	0.241	
0.0760	115.073	0.230	0.241	
0.0765	115.073	0.226	0.241	
0.0770	115.073	0.230	0.241	
0.0775	115.073	0.229	0.241	
0.0780	115.073	0.229	0.241	
0.0785	115.073	0.228	0.240	
0.0790	115.073	0.229	0.241	
0.0795	115.073	0.229	0.237	
0.0800	115.073	0.229	0.242	
0.0805	115.073	0.229	0.243	
0.0810	115.073	0.229	0.242	
0.0815	115.073	0.229	0.242	
0.0820	115.073	0.229	0.243	
0.0825	115.073	0.228	0.241	
0.0830	115.073	0.229	0.242	
0.0835	115.073	0.228	0.241	
0.0840	115.073	0.228	0.241	
0.0845	115.073	0.229	0.241	
0.0850	115.073	0.228	0.240	
0.0855	115.073	0.229	0.241	
0.0860	115.073	0.230	0.241	
0.0865	115.073	0.229	0.241	
0.0870	115.073	0.228	0.241	
0.0875	115.073	0.229	0.245	
0.0880	115.073	0.230	0.243	
0.0885	115.073	0.229	0.240	
0.0890	115.073	0.230	0.243	
0.0895	115.073	0.229	0.237	
0.0900	115.073	0.227	0.241	
0.0905	115.073	0.229	0.242	
0.0910	115.073	0.229	0.241	
0.0915	115.073	0.228	0.242	
0.0920	115.073	0.230	0.241	
0.0925	115.073	0.230	0.242	
0.0930	115.073	0.229	0.241	
0.0935	115.073	0.229	0.237	
0.0940	115.073	0.230	0.242	
0.0945	115.073	0.227	0.241	
0.0950	115.073	0.229	0.241	
0.0955	115.073	0.228	0.241	
0.0960	115.073	0.228	0.241	
0.0965	115.073	0.230	0.238	
0.0970	115.073	0.232	0.242	
0.0975	115.073	0.228	0.240	
0.0980	115.073	0.230	0.242	
0.0985	115.073	0.227	0.240	
0.0990	115.073	0.230	0.240	
0.0995	115.073	0.229	0.243	
0.1000	115.073	0.229	0.241	
0.1005	115.073	0.228	0.242	
0.1010	115.073	0.229	0.242	
0.1015	115.073	0.229	0.242	
0.1020	115.073	0.229	0.242	
0.1025	115.073	0.229	0.242	
0.1030	115.073	0.227	0.241	
0.1035	115.073	0.228	0.241	
0.1040	115.073	0.229	0.242	
0.1045	115.073	0.231	0.242	
0.1050	115.073	0.228	0.241	
0.1055	115.073	0.229	0.241	
0.1060	115.073	0.230	0.241	
0.1065	115.073	0.229	0.242	
0.1070	115.073	0.228	0.242	
0.1075	115.073	0.226	0.242	
0.1080	115.073	0.227	0.241	
0.1085	115.073	0.231	0.242	
0.1090	115.073	0.231	0.242	
0.1095	115.073	0.228	0.240	
0.1100	115.073	0.233	0.242	
0.1105	115.073	0.230	0.241	
0.1110	115.073	0.226	0.240	
0.1115	115.073	0.232	0.242	
0.1120	115.073	0.229	0.241	
0.1125	115.073	0.229	0.242	
0.1130	115.073	0.229	0.241	
0.1135	115.073	0.229	0.241	
0.1140	115.073	0.229	0.243	
0.1145	115.073	0.229	0.241	
0.1150	115.073	0.229	0.241	
0.1155	115.073	0.229	0.242	
0.1160	115.073	0.233	0.243	
0.1165	115.073	0.229	0.242	
0.1170	115.073	0.229	0.243	
0.1175	115.073	0.228	0.239	
0.1180	115.073	0.230	0.243	
0.1185	115.073	0.229	0.246	
0.1190	115.073	0.229	0.241	
0.1195	115.073	0.230	0.240	
0.1200	115.073	0.229	0.241	
0.1205	115.073	0.229	0.242	
0.1210	115.073	0.229	0.242	
0.1215	115.073	0.229	0.241	
0.1220	115.073	0.226	0.242	
0.1225	115.073	0.229	0.241	
0.1230	115.073	0.227	0.242	
0.1235	115.073	0.228	0.241	
0.1240	115.073	0.228	0.241	
0.1245	115.073	0.230	0.242	
0.1250	115.073	0.229	0.246	
0.1255	115.073	0.229	0.240	
0.1260	115.073	0.228	0.240	
0.1265	115.073	0.229	0.242	
0.1270	115.073	0.227	0.240	
0.1275	115.073	0.230	0.241	
0.1280	115.073	0.228	0.240	
0.1285	115.073	0.229	0.241	
0.1290	115.073	0.228	0.241	
0.1295	115.073	0.228	0.241	
0.1300	115.073	0.229	0.242	
0.1305	115.073	0.228	0.241	
0.1310	115.073	0.227	0.240	
0.1315	115.073	0.229	0.241	
0.1320	115.073	0.229	0.242	
0.1325	115.073	0.229	0.241	
0.1330	115.073	0.229	0.244	
0.1335	115.073	0.231	0.242	
0.1340	115.073	0.229	0.243	
0.1345	115.073	0.229	0.241	
0.1350	115.073	0.234	0.242	
0.1355	115.073	0.230	0.241	
0.1360	115.073	0.229	0.239	
0.1365	115.073	0.230	0.241	
0.1370	115.073	0.230	0.243	
0.1375	115.073	0.229	0.243	
0.1380	115.073	0.230	0.242	
0.1385	115.073	0.228	0.241	
0.1390	115.073	0.231	0.243	
0.1395	115.073	0.229	0.241	
0.1400	115.073	0.229	0.241	
0.1405	115.073	0.229	0.241	
0.1410	115.073	0.229	0.241	
0.1415	115.073	0.229	0.242	
0.1420	115.073	0.229	0.242	
0.1425	115.073	0.229	0.241	
0.1430	115.073	0.229	0.241	
0.1435	115.073	0.228	0.240	
0.1440	115.073	0.229	0.241	
0.1445	115.073	0.230	0.240	
0.1450	115.073	0.229	0.241	
0.1455	115.073	0.227	0.240	
0.1460	115.073	0.229	0.241	
0.1465	115.073	0.229	0.241	
0.1470	115.073	0.229	0.241	
0.1475	115.073	0.228	0.240	
0.1480	115.073	0.228	0.242	
0.1485	115.073	0.230	0.237	
0.1490	115.073	0.230	0.241	
0.1495	115.073	0.228	0.241	
0.1500	115.073	0.228	0.241	
0.1505	115.073	0.229	0.242	
0.1510	115.073	0.229	0.239	
0.1515	115.073	0.228	0.242	
0.1520	115.073	0.228	0.241	
0.1525	115.073	0.229	0.241	
0.1530	115.073	0.228	0.241	
0.1535	115.073	0.228	0.241	
0.1540	115.073	0.229	0.242	
0.1545	115.073	0.229	0.241	
0.1550	115.073	0.229	0.238	
0.1555	115.073	0.229	0.242	
0.1560	115.073	0.225	0.240	
0.1565	115.073	0.230	0.242	
0.1570	115.073	0.228	0.241	
0.1575	115.073	0.229	0.242	
0.1580	115.073	0.229	0.242	
0.1585	115.073	0.229	0.241	
0.1590	115.073	0.229	0.242	
0.1595	115.073	0.229	0.242	
0.1600	115.073	0.228	0.241	
0.1605	115.073	0.229	0.241	
0.1610	115.073	0.229	0.242	
0.1615	115.073	0.229	0.241	
0.1620	115.073	0.229	0.241	
0.1625	115.073	0.228	0.240	
0.1630	115.073	0.229	0.242	
