Elapsed Time[s]	Write 0 [deg]	Write 1 [A]	Write 2 [A]	
0.0000	0.000	0.437	0.156	
0.0005	0.000	0.468	0.122	
0.0010	0.000	0.488	0.103	
0.0015	0.000	0.504	0.094	
0.0020	0.000	0.516	0.087	
0.0025	0.000	0.527	0.083	
0.0030	0.000	0.538	0.081	
0.0035	0.000	0.552	0.078	
0.0040	0.000	0.452	0.170	
0.0045	0.000	0.184	0.367	
0.0050	0.000	0.133	0.375	
0.0055	0.000	0.100	0.373	
0.0060	0.000	0.079	0.369	
0.0065	0.000	0.061	0.364	
0.0070	0.000	0.045	0.356	
0.0075	0.000	0.031	0.351	
0.0080	0.000	0.022	0.344	
0.0085	0.000	0.018	0.337	
0.0090	0.000	0.017	0.327	
0.0095	0.000	0.166	0.164	
0.0100	0.000	0.319	0.021	
0.0105	0.000	0.330	0.022	
0.0110	0.000	0.321	0.035	
0.0115	0.000	0.308	0.042	
0.0120	0.000	0.297	0.041	
0.0125	0.000	0.292	0.036	
0.0130	0.000	0.289	0.029	
0.0135	0.000	0.279	0.028	
0.0140	0.000	0.268	0.026	
0.0145	0.000	0.261	0.021	
0.0150	0.000	0.047	0.329	
0.0155	0.000	0.003	0.510	
0.0160	0.000	0.009	0.609	
0.0165	0.000	0.031	0.664	
0.0170	0.000	0.042	0.694	
0.0175	0.000	0.045	0.704	
0.0180	0.000	0.040	0.692	
0.0185	0.000	0.040	0.655	
0.0190	0.000	0.036	0.620	
0.0195	0.000	0.029	0.592	
0.0200	0.000	0.018	0.574	
0.0205	0.000	0.352	0.242	
0.0210	0.000	0.494	0.139	
0.0215	0.000	0.586	0.074	
0.0220	0.000	0.633	0.047	
0.0225	0.000	0.653	0.031	
0.0230	0.000	0.648	0.017	
0.0235	0.000	0.611	0.016	
0.0240	0.000	0.571	0.016	
0.0245	0.000	0.539	0.016	
0.0250	0.000	0.523	0.016	
0.0255	0.000	0.515	0.016	
0.0260	0.000	0.182	0.268	
0.0265	0.000	0.093	0.304	
0.0270	0.000	0.047	0.315	
0.0275	0.000	0.027	0.314	
0.0280	0.000	0.008	0.311	
0.0285	0.000	0.003	0.304	
0.0290	0.000	0.004	0.297	
0.0295	0.000	0.003	0.294	
0.0300	0.000	0.003	0.296	
0.0305	0.000	0.004	0.299	
0.0310	0.000	0.004	0.288	
0.0315	0.000	0.279	0.018	
0.0320	0.000	0.302	0.015	
0.0325	0.000	0.319	0.017	
0.0330	0.000	0.330	0.016	
0.0335	0.000	0.336	0.015	
0.0340	0.000	0.337	0.015	
0.0345	0.000	0.342	0.016	
0.0350	0.000	0.344	0.016	
0.0355	0.000	0.329	0.015	
0.0360	0.000	0.287	0.015	
0.0365	0.000	0.158	0.122	
0.0370	0.000	0.004	0.348	
0.0375	0.000	0.004	0.401	
0.0380	0.000	0.004	0.430	
0.0385	0.000	0.005	0.445	
0.0390	0.000	0.004	0.454	
0.0395	0.000	0.005	0.462	
0.0400	0.000	0.004	0.474	
0.0405	0.000	0.004	0.491	
0.0410	0.000	0.004	0.499	
0.0415	0.000	0.003	0.512	
0.0420	0.000	0.180	0.320	
0.0425	0.000	0.288	0.204	
0.0430	0.000	0.339	0.160	
0.0435	0.000	0.370	0.147	
0.0440	0.000	0.393	0.141	
0.0445	0.000	0.417	0.138	
0.0450	0.000	0.440	0.140	
0.0455	0.000	0.457	0.156	
0.0460	0.000	0.476	0.182	
0.0465	0.000	0.510	0.211	
0.0470	0.000	0.568	0.250	
0.0475	0.000	0.363	0.447	
0.0480	0.000	0.250	0.514	
0.0485	0.000	0.202	0.538	
0.0490	0.000	0.179	0.527	
0.0495	0.000	0.164	0.482	
0.0500	0.000	0.157	0.421	
0.0505	0.000	0.163	0.353	
0.0510	0.000	0.179	0.289	
0.0515	0.000	0.201	0.235	
0.0520	0.000	0.230	0.191	
0.0525	0.000	0.260	0.152	
0.0530	0.000	0.439	0.016	
0.0535	0.000	0.490	0.016	
0.0540	0.000	0.502	0.016	
0.0545	0.000	0.487	0.016	
0.0550	0.000	0.448	0.015	
0.0555	0.000	0.394	0.016	
0.0560	0.000	0.337	0.016	
0.0565	0.000	0.277	0.016	
0.0570	0.000	0.225	0.015	
0.0575	0.000	0.178	0.015	
0.0580	0.000	0.141	0.017	
0.0585	0.000	0.004	0.264	
0.0590	0.000	0.004	0.359	
0.0595	0.000	0.003	0.417	
0.0600	0.000	0.003	0.456	
0.0605	0.000	0.006	0.485	
0.0610	0.000	0.004	0.508	
0.0615	0.000	0.003	0.531	
0.0620	0.000	0.003	0.555	
0.0625	0.000	0.003	0.583	
0.0630	0.000	0.004	0.613	
0.0635	0.000	0.004	0.641	
0.0640	0.000	0.320	0.292	
0.0645	0.000	0.403	0.203	
0.0650	0.000	0.452	0.151	
0.0655	0.000	0.481	0.118	
0.0660	0.000	0.499	0.095	
0.0665	0.000	0.512	0.083	
0.0670	0.000	0.522	0.078	
0.0675	0.000	0.531	0.073	
0.0680	0.000	0.540	0.068	
0.0685	0.000	0.550	0.069	
0.0690	0.000	0.394	0.204	
0.0695	0.000	0.163	0.372	
0.0700	0.000	0.117	0.376	
0.0705	0.000	0.090	0.368	
0.0710	0.000	0.071	0.361	
0.0715	0.000	0.056	0.354	
0.0720	0.000	0.041	0.346	
0.0725	0.000	0.027	0.340	
0.0730	0.000	0.015	0.333	
0.0735	0.000	0.010	0.327	
0.0740	0.000	0.009	0.319	
0.0745	0.000	0.189	0.123	
0.0750	0.000	0.310	0.016	
0.0755	0.000	0.318	0.022	
0.0760	0.000	0.309	0.037	
0.0765	0.000	0.298	0.046	
0.0770	0.000	0.287	0.045	
0.0775	0.000	0.281	0.042	
0.0780	0.000	0.278	0.036	
0.0785	0.000	0.266	0.036	
0.0790	0.000	0.256	0.033	
0.0795	0.000	0.248	0.026	
0.0800	0.000	0.038	0.329	
0.0805	0.000	0.004	0.506	
0.0810	0.000	0.006	0.607	
0.0815	0.000	0.027	0.665	
0.0820	0.000	0.041	0.696	
0.0825	0.000	0.044	0.707	
0.0830	0.000	0.041	0.694	
0.0835	0.000	0.040	0.657	
0.0840	0.000	0.036	0.620	
0.0845	0.000	0.029	0.589	
0.0850	0.000	0.018	0.572	
0.0855	0.000	0.349	0.244	
0.0860	0.000	0.491	0.141	
0.0865	0.000	0.584	0.078	
0.0870	0.000	0.630	0.048	
0.0875	0.000	0.647	0.031	
0.0880	0.000	0.643	0.017	
0.0885	0.000	0.604	0.016	
0.0890	0.000	0.562	0.015	
0.0895	0.000	0.532	0.015	
0.0900	0.000	0.516	0.015	
0.0905	0.000	0.512	0.014	
0.0910	0.000	0.178	0.271	
0.0915	0.000	0.092	0.305	
0.0920	0.000	0.049	0.315	
0.0925	0.000	0.028	0.314	
0.0930	0.000	0.008	0.316	
0.0935	0.000	0.003	0.308	
0.0940	0.000	0.005	0.301	
0.0945	0.000	0.003	0.300	
0.0950	0.000	0.003	0.302	
0.0955	0.000	0.004	0.304	
0.0960	0.000	0.058	0.233	
0.0965	0.000	0.283	0.017	
0.0970	0.000	0.308	0.016	
0.0975	0.000	0.325	0.015	
0.0980	0.000	0.337	0.016	
0.0985	0.000	0.343	0.015	
0.0990	0.000	0.346	0.016	
0.0995	0.000	0.350	0.016	
0.1000	0.000	0.350	0.017	
0.1005	0.000	0.325	0.016	
0.1010	0.000	0.278	0.015	
0.1015	0.000	0.113	0.169	
0.1020	0.000	0.004	0.346	
0.1025	0.000	0.002	0.398	
0.1030	0.000	0.003	0.426	
0.1035	0.000	0.004	0.442	
0.1040	0.000	0.003	0.452	
0.1045	0.000	0.002	0.462	
0.1050	0.000	0.003	0.477	
0.1055	0.000	0.003	0.491	
0.1060	0.000	0.003	0.499	
0.1065	0.000	0.003	0.514	
0.1070	0.000	0.178	0.325	
0.1075	0.000	0.281	0.216	
0.1080	0.000	0.333	0.177	
0.1085	0.000	0.366	0.158	
0.1090	0.000	0.393	0.153	
0.1095	0.000	0.418	0.148	
0.1100	0.000	0.441	0.151	
0.1105	0.000	0.458	0.169	
0.1110	0.000	0.483	0.194	
0.1115	0.000	0.523	0.227	
0.1120	0.000	0.588	0.265	
0.1125	0.000	0.382	0.456	
0.1130	0.000	0.264	0.525	
0.1135	0.000	0.213	0.543	
0.1140	0.000	0.185	0.526	
0.1145	0.000	0.169	0.476	
0.1150	0.000	0.161	0.414	
0.1155	0.000	0.169	0.347	
0.1160	0.000	0.184	0.285	
0.1165	0.000	0.206	0.230	
0.1170	0.000	0.234	0.183	
0.1175	0.000	0.262	0.149	
0.1180	0.000	0.446	0.017	
0.1185	0.000	0.491	0.016	
0.1190	0.000	0.500	0.016	
0.1195	0.000	0.485	0.016	
0.1200	0.000	0.446	0.016	
0.1205	0.000	0.394	0.016	
0.1210	0.000	0.337	0.016	
0.1215	0.000	0.281	0.016	
0.1220	0.000	0.227	0.015	
0.1225	0.000	0.180	0.015	
0.1230	0.000	0.141	0.016	
0.1235	0.000	0.004	0.278	
0.1240	0.000	0.004	0.371	
0.1245	0.000	0.004	0.426	
0.1250	0.000	0.004	0.460	
0.1255	0.000	0.004	0.490	
0.1260	0.000	0.004	0.513	
0.1265	0.000	0.004	0.534	
0.1270	0.000	0.003	0.555	
0.1275	0.000	0.004	0.580	
0.1280	0.000	0.002	0.608	
0.1285	0.000	0.073	0.548	
0.1290	0.000	0.345	0.271	
0.1295	0.000	0.422	0.193	
0.1300	0.000	0.467	0.141	
0.1305	0.000	0.493	0.111	
0.1310	0.000	0.509	0.090	
0.1315	0.000	0.518	0.076	
0.1320	0.000	0.526	0.070	
0.1325	0.000	0.533	0.066	
0.1330	0.000	0.542	0.064	
0.1335	0.000	0.550	0.063	
0.1340	0.000	0.395	0.197	
0.1345	0.000	0.160	0.367	
0.1350	0.000	0.110	0.374	
0.1355	0.000	0.085	0.366	
0.1360	0.000	0.068	0.356	
0.1365	0.000	0.052	0.348	
0.1370	0.000	0.038	0.343	
0.1375	0.000	0.025	0.336	
0.1380	0.000	0.014	0.330	
0.1385	0.000	0.007	0.323	
0.1390	0.000	0.005	0.316	
0.1395	0.000	0.186	0.123	
0.1400	0.000	0.305	0.016	
0.1405	0.000	0.316	0.023	
0.1410	0.000	0.308	0.039	
0.1415	0.000	0.296	0.047	
0.1420	0.000	0.285	0.048	
0.1425	0.000	0.280	0.045	
0.1430	0.000	0.275	0.038	
0.1435	0.000	0.265	0.037	
0.1440	0.000	0.254	0.033	
0.1445	0.000	0.247	0.027	
0.1450	0.000	0.021	0.362	
0.1455	0.000	0.004	0.519	
0.1460	0.000	0.008	0.616	
0.1465	0.000	0.030	0.669	
0.1470	0.000	0.042	0.697	
0.1475	0.000	0.042	0.703	
0.1480	0.000	0.040	0.683	
0.1485	0.000	0.039	0.644	
0.1490	0.000	0.034	0.608	
0.1495	0.000	0.027	0.581	
0.1500	0.000	0.015	0.566	
0.1505	0.000	0.364	0.228	
0.1510	0.000	0.500	0.129	
0.1515	0.000	0.589	0.071	
0.1520	0.000	0.629	0.045	
0.1525	0.000	0.643	0.029	
0.1530	0.000	0.626	0.017	
0.1535	0.000	0.583	0.016	
0.1540	0.000	0.544	0.015	
0.1545	0.000	0.521	0.016	
0.1550	0.000	0.511	0.016	
0.1555	0.000	0.507	0.015	
0.1560	0.000	0.162	0.282	
0.1565	0.000	0.084	0.313	
0.1570	0.000	0.046	0.320	
0.1575	0.000	0.025	0.321	
0.1580	0.000	0.004	0.324	
0.1585	0.000	0.005	0.315	
0.1590	0.000	0.004	0.311	
0.1595	0.000	0.004	0.313	
0.1600	0.000	0.004	0.317	
0.1605	0.000	0.004	0.315	
0.1610	0.000	0.061	0.232	
0.1615	0.000	0.284	0.016	
0.1620	0.000	0.315	0.016	
0.1625	0.000	0.335	0.017	
0.1630	0.000	0.348	0.015	
0.1635	0.000	0.357	0.016	
0.1640	0.000	0.363	0.016	
0.1645	0.000	0.368	0.016	
0.1650	0.000	0.358	0.016	
0.1655	0.000	0.318	0.016	
0.1660	0.000	0.265	0.016	
0.1665	0.000	0.071	0.199	
0.1670	0.000	0.003	0.340	
0.1675	0.000	0.003	0.390	
