Elapsed Time[s]	Write 0 [deg]	Write 1 [A]	Write 2 [A]	
38.4000	101.349	0.003	0.016	
38.4005	102.053	0.003	0.016	
38.4010	101.349	0.004	0.016	
38.4015	100.293	0.004	0.016	
38.4020	100.293	0.003	0.016	
38.4025	98.534	0.003	0.016	
38.4030	99.238	0.004	0.016	
38.4035	99.238	0.004	0.016	
38.4040	98.534	0.003	0.016	
38.4045	98.182	0.004	0.017	
38.4050	97.478	0.004	0.016	
38.4055	97.478	0.003	0.015	
38.4060	97.478	0.003	0.016	
38.4065	98.182	0.003	0.015	
38.4070	98.182	0.004	0.016	
38.4075	96.422	0.002	0.016	
38.4080	96.422	0.004	0.017	
38.4085	96.422	0.004	0.014	
38.4090	96.422	0.004	0.014	
38.4095	96.422	0.003	0.017	
38.4100	95.718	0.004	0.016	
38.4105	95.718	0.004	0.016	
38.4110	95.718	0.004	0.013	
38.4115	95.718	0.004	0.016	
38.4120	95.718	0.004	0.016	
38.4125	95.718	0.004	0.016	
38.4130	95.718	0.002	0.016	
38.4135	95.718	0.004	0.016	
38.4140	95.718	0.004	0.016	
38.4145	96.070	0.003	0.018	
38.4150	96.422	0.004	0.017	
38.4155	96.422	0.004	0.018	
38.4160	96.422	0.004	0.016	
38.4165	96.422	0.004	0.017	
38.4170	96.422	0.003	0.017	
38.4175	95.718	0.003	0.017	
38.4180	95.718	0.004	0.015	
38.4185	98.182	0.003	0.019	
38.4190	98.182	0.007	0.019	
38.4195	97.830	0.003	0.020	
38.4200	97.478	0.004	0.023	
38.4205	97.478	0.004	0.026	
38.4210	98.182	0.004	0.028	
38.4215	98.534	0.003	0.032	
38.4220	99.238	0.003	0.035	
38.4225	99.238	0.004	0.039	
38.4230	99.238	0.004	0.043	
38.4235	99.238	0.004	0.043	
38.4240	100.997	0.003	0.050	
38.4245	100.293	0.003	0.054	
38.4250	100.293	0.003	0.058	
38.4255	100.997	0.003	0.062	
38.4260	101.349	0.003	0.065	
38.4265	102.053	0.003	0.069	
38.4270	102.053	0.004	0.073	
38.4275	101.349	0.003	0.075	
38.4280	101.349	0.004	0.079	
38.4285	103.812	0.002	0.080	
38.4290	103.109	0.004	0.080	
38.4295	103.109	0.004	0.080	
38.4300	103.109	0.005	0.080	
38.4305	103.812	0.004	0.079	
38.4310	104.164	0.004	0.075	
38.4315	104.868	0.004	0.072	
38.4320	104.868	0.004	0.068	
38.4325	104.868	0.004	0.062	
38.4330	104.868	0.004	0.058	
38.4335	104.868	0.002	0.053	
38.4340	104.164	0.004	0.048	
38.4345	104.164	0.004	0.041	
38.4350	104.164	0.005	0.038	
38.4355	104.164	0.004	0.034	
38.4360	104.164	0.004	0.027	
38.4365	104.164	0.005	0.021	
38.4370	104.164	0.004	0.017	
38.4375	104.164	0.004	0.017	
38.4380	104.164	0.005	0.014	
38.4385	104.164	0.004	0.015	
38.4390	104.164	0.006	0.016	
38.4395	104.164	0.002	0.016	
38.4400	104.516	0.004	0.016	
38.4405	104.868	0.006	0.017	
38.4410	104.868	0.004	0.016	
38.4415	104.868	0.004	0.016	
38.4420	104.868	0.004	0.017	
38.4425	104.868	0.004	0.017	
38.4430	104.164	0.003	0.017	
38.4435	104.164	0.003	0.017	
38.4440	103.812	0.003	0.017	
38.4445	103.812	0.004	0.017	
38.4450	103.460	0.003	0.016	
38.4455	103.109	0.003	0.013	
38.4460	103.109	0.003	0.016	
38.4465	103.109	0.003	0.016	
38.4470	103.109	0.004	0.016	
38.4475	101.349	0.003	0.016	
38.4480	101.349	0.004	0.015	
38.4485	102.053	0.004	0.015	
38.4490	102.053	0.002	0.016	
38.4495	102.053	0.005	0.016	
38.4500	102.053	0.004	0.016	
38.4505	101.701	0.003	0.019	
38.4510	101.349	0.004	0.014	
38.4515	101.349	0.001	0.015	
38.4520	101.349	0.004	0.016	
38.4525	100.997	0.001	0.016	
38.4530	100.997	0.004	0.016	
38.4535	100.997	0.004	0.016	
38.4540	100.645	0.003	0.016	
38.4545	100.293	0.004	0.016	
38.4550	100.293	0.004	0.016	
38.4555	100.293	-0.008	0.149	
38.4560	100.293	0.004	0.353	
