Elapsed Time[s]	Write 0 [deg]	Write 1 [A]	Write 2 [A]	
12.8000	144.282	0.511	0.014	
12.8005	144.282	0.561	0.012	
12.8010	144.282	0.611	0.016	
12.8015	143.578	0.657	0.017	
12.8020	143.226	0.695	0.017	
12.8025	142.874	0.587	0.125	
12.8030	142.522	0.329	0.348	
12.8035	142.522	0.219	0.487	
12.8040	142.522	0.158	0.584	
12.8045	143.226	0.128	0.655	
12.8050	140.762	0.108	0.709	
12.8055	141.114	0.096	0.749	
12.8060	141.466	0.087	0.778	
12.8065	141.466	0.080	0.798	
12.8070	141.466	0.076	0.810	
12.8075	141.466	0.167	0.677	
12.8080	141.466	0.231	0.463	
12.8085	141.466	0.253	0.343	
12.8090	141.114	0.260	0.262	
12.8095	143.226	0.259	0.210	
12.8100	143.226	0.249	0.175	
12.8105	142.522	0.238	0.150	
12.8110	142.522	0.223	0.134	
12.8115	142.522	0.207	0.120	
12.8120	143.226	0.192	0.110	
12.8125	143.226	0.117	0.172	
12.8130	143.226	0.004	0.287	
12.8135	143.930	0.004	0.283	
12.8140	144.282	0.003	0.273	
12.8145	144.282	0.003	0.257	
12.8150	143.578	0.004	0.241	
12.8155	143.578	0.004	0.224	
12.8160	146.041	0.007	0.205	
12.8165	146.041	0.012	0.184	
12.8170	146.041	0.017	0.169	
12.8175	146.041	0.122	0.060	
12.8180	146.041	0.269	0.016	
12.8185	146.041	0.339	0.015	
12.8190	143.578	0.397	0.017	
12.8195	143.930	0.452	0.015	
12.8200	144.282	0.504	0.016	
12.8205	144.282	0.551	0.016	
12.8210	144.282	0.603	0.016	
12.8215	143.578	0.653	0.016	
12.8220	143.226	0.690	0.016	
12.8225	142.874	0.653	0.079	
12.8230	142.522	0.353	0.322	
12.8235	142.522	0.230	0.470	
12.8240	142.522	0.167	0.571	
12.8245	143.226	0.132	0.645	
12.8250	143.226	0.111	0.701	
12.8255	141.114	0.098	0.743	
12.8260	141.466	0.088	0.773	
12.8265	141.466	0.084	0.794	
12.8270	141.466	0.076	0.808	
12.8275	141.466	0.086	0.784	
12.8280	141.466	0.227	0.485	
12.8285	141.466	0.251	0.356	
12.8290	140.762	0.260	0.274	
12.8295	143.226	0.258	0.216	
12.8300	143.226	0.252	0.179	
12.8305	142.874	0.240	0.152	
12.8310	142.522	0.226	0.135	
12.8315	142.522	0.209	0.124	
12.8320	143.226	0.195	0.112	
12.8325	143.226	0.182	0.102	
12.8330	143.226	0.004	0.288	
12.8335	143.930	0.003	0.284	
12.8340	144.282	0.003	0.275	
12.8345	144.282	0.002	0.259	
12.8350	143.578	0.002	0.243	
12.8355	143.578	0.004	0.227	
12.8360	146.041	0.009	0.208	
12.8365	146.041	0.012	0.188	
12.8370	146.041	0.016	0.166	
12.8375	146.041	0.018	0.155	
12.8380	146.041	0.246	0.017	
12.8385	146.041	0.325	0.016	
12.8390	143.578	0.383	0.016	
12.8395	143.930	0.438	0.016	
12.8400	144.282	0.490	0.016	
12.8405	144.282	0.542	0.018	
12.8410	144.282	0.592	0.016	
12.8415	143.578	0.640	0.016	
12.8420	143.226	0.681	0.016	
12.8425	143.226	0.714	0.019	
12.8430	142.522	0.402	0.276	
12.8435	142.522	0.252	0.440	
12.8440	142.522	0.175	0.551	
12.8445	143.226	0.138	0.631	
12.8450	143.226	0.114	0.690	
12.8455	141.114	0.100	0.735	
12.8460	141.466	0.091	0.767	
12.8465	141.466	0.083	0.791	
12.8470	141.466	0.075	0.806	
12.8475	141.466	0.069	0.815	
12.8480	141.466	0.217	0.529	
12.8485	141.466	0.251	0.384	
12.8490	141.114	0.260	0.291	
12.8495	140.762	0.260	0.231	
12.8500	143.226	0.254	0.188	
12.8505	143.226	0.243	0.163	
12.8510	142.874	0.228	0.141	
12.8515	142.522	0.213	0.126	
12.8520	142.522	0.199	0.114	
12.8525	142.874	0.186	0.106	
12.8530	143.226	0.003	0.289	
12.8535	143.578	0.004	0.286	
12.8540	143.930	0.003	0.275	
12.8545	144.282	0.005	0.263	
12.8550	144.282	0.004	0.246	
12.8555	144.282	0.004	0.229	
12.8560	146.041	0.007	0.210	
