Elapsed Time[s]	Write 0 [deg]	Write 1 [A]	Write 2 [A]	
7.6800	93.607	0.002	0.096	
7.6805	93.607	0.000	0.101	
7.6810	93.607	0.002	0.106	
7.6815	95.367	0.002	0.111	
7.6820	94.663	0.002	0.116	
7.6825	95.367	0.002	0.122	
7.6830	96.422	-0.001	0.125	
7.6835	96.422	0.001	0.128	
7.6840	98.182	0.001	0.130	
7.6845	97.478	0.000	0.130	
7.6850	97.478	0.001	0.215	
7.6855	98.182	0.001	0.312	
7.6860	98.182	0.002	0.339	
7.6865	99.238	0.002	0.338	
7.6870	99.238	0.001	0.322	
7.6875	100.293	0.001	0.300	
7.6880	100.997	0.001	0.274	
7.6885	100.293	0.001	0.245	
7.6890	100.293	0.001	0.215	
7.6895	102.053	-0.002	0.185	
7.6900	101.349	0.001	0.156	
7.6905	102.053	0.001	0.130	
7.6910	101.349	0.001	0.106	
7.6915	103.812	0.001	0.086	
7.6920	103.109	0.000	0.065	
7.6925	103.109	0.001	0.053	
7.6930	104.164	0.001	0.040	
7.6935	104.868	0.001	0.026	
7.6940	104.164	0.002	0.020	
7.6945	104.164	0.002	0.014	
7.6950	105.924	0.001	0.014	
7.6955	106.628	0.001	0.011	
7.6960	107.683	0.001	0.014	
7.6965	107.683	0.001	0.012	
7.6970	108.739	0.001	0.017	
7.6975	108.739	0.004	0.014	
7.6980	108.739	0.001	0.014	
7.6985	109.443	0.004	0.014	
7.6990	110.499	0.002	0.012	
7.6995	109.795	0.002	0.015	
7.7000	112.258	0.216	0.014	
7.7005	111.554	0.348	0.012	
7.7010	111.554	0.428	0.014	
7.7015	111.554	0.482	0.017	
7.7020	112.610	0.524	0.014	
7.7025	113.314	0.555	0.014	
7.7030	113.314	0.583	0.014	
7.7035	112.610	0.610	0.014	
7.7040	115.073	0.634	0.012	
7.7045	114.369	0.658	0.014	
7.7050	115.073	0.682	0.010	
7.7055	115.425	0.702	0.014	
7.7060	116.129	0.720	0.014	
7.7065	116.129	0.735	0.014	
7.7070	115.425	0.747	0.014	
7.7075	117.185	0.758	0.014	
7.7080	117.185	0.764	0.014	
7.7085	118.240	0.770	0.014	
7.7090	118.944	0.773	0.014	
7.7095	120.000	0.776	0.013	
7.7100	120.000	0.781	0.013	
7.7105	120.704	0.785	0.011	
7.7110	120.704	0.789	0.013	
7.7115	121.760	0.793	0.010	
7.7120	122.815	0.796	0.014	
7.7125	122.815	0.799	0.011	
7.7130	122.815	0.805	0.015	
7.7135	124.575	0.810	0.014	
7.7140	124.575	0.814	0.014	
7.7145	124.575	0.685	0.092	
7.7150	124.575	0.380	0.291	
7.7155	125.631	0.243	0.398	
7.7160	125.631	0.177	0.469	
7.7165	125.631	0.141	0.521	
7.7170	126.686	0.119	0.558	
7.7175	127.390	0.102	0.590	
7.7180	127.390	0.089	0.620	
7.7185	126.686	0.077	0.645	
7.7190	127.390	0.067	0.673	
7.7195	128.446	0.060	0.697	
7.7200	128.446	0.052	0.721	
7.7205	129.150	0.048	0.742	
7.7210	130.205	0.046	0.761	
7.7215	130.205	0.045	0.777	
7.7220	131.261	0.045	0.789	
7.7225	131.261	0.048	0.798	
7.7230	131.261	0.054	0.805	
7.7235	133.021	0.060	0.813	
7.7240	133.021	0.068	0.817	
7.7245	132.317	0.073	0.823	
7.7250	134.076	0.079	0.829	
7.7255	135.836	0.086	0.834	
7.7260	135.836	0.093	0.840	
7.7265	135.836	0.100	0.844	
7.7270	137.595	0.107	0.850	
7.7275	136.891	0.112	0.855	
7.7280	137.595	0.117	0.862	
7.7285	138.651	0.120	0.867	
7.7290	138.651	0.120	0.871	
7.7295	137.947	0.224	0.582	
7.7300	140.411	0.305	0.358	
7.7305	139.707	0.325	0.257	
7.7310	139.707	0.324	0.201	
7.7315	140.411	0.305	0.161	
7.7320	141.466	0.282	0.138	
7.7325	141.466	0.254	0.118	
7.7330	141.466	0.225	0.105	
7.7335	143.226	0.197	0.095	
7.7340	142.522	0.163	0.086	
7.7345	142.522	0.136	0.080	
7.7350	143.226	0.111	0.073	
7.7355	144.282	0.090	0.069	
7.7360	144.282	0.069	0.069	
7.7365	144.282	0.055	0.068	
7.7370	145.337	0.039	0.070	
7.7375	145.337	0.025	0.073	
7.7380	145.337	0.009	0.077	
7.7385	147.097	0.005	0.083	
7.7390	147.097	0.002	0.087	
7.7395	146.393	0.002	0.091	
7.7400	148.152	0.001	0.095	
7.7405	148.856	0.001	0.101	
7.7410	149.208	0.002	0.105	
7.7415	149.912	0.002	0.111	
7.7420	149.912	0.002	0.115	
7.7425	151.672	0.001	0.118	
7.7430	150.968	0.001	0.121	
7.7435	150.968	0.001	0.123	
7.7440	151.672	-0.001	0.136	
7.7445	152.727	0.002	0.284	
7.7450	152.727	0.002	0.332	
7.7455	152.727	0.001	0.342	
7.7460	154.487	0.001	0.332	
7.7465	153.783	0.002	0.314	
7.7470	153.783	0.002	0.291	
7.7475	154.487	0.001	0.265	
7.7480	155.543	0.002	0.237	
7.7485	155.543	0.001	0.209	
7.7490	155.543	-0.000	0.180	
7.7495	154.839	0.002	0.152	
7.7500	156.598	0.000	0.126	
7.7505	156.598	0.004	0.104	
7.7510	157.302	0.001	0.084	
7.7515	158.358	0.001	0.067	
7.7520	158.358	0.002	0.056	
7.7525	160.117	0.001	0.039	
7.7530	159.413	0.002	0.029	
7.7535	159.413	0.002	0.016	
7.7540	160.469	0.001	0.015	
7.7545	161.173	0.001	0.014	
7.7550	161.173	0.006	0.013	
7.7555	161.173	0.001	0.013	
7.7560	162.229	-0.000	0.013	
7.7565	163.284	0.001	0.010	
7.7570	163.988	0.002	0.018	
7.7575	163.988	0.002	0.014	
7.7580	165.748	0.002	0.013	
7.7585	165.044	0.000	0.014	
7.7590	165.044	0.119	0.013	
7.7595	165.748	0.294	0.014	
7.7600	166.804	0.392	0.014	
7.7605	166.804	0.456	0.015	
7.7610	168.563	0.499	0.013	
7.7615	167.859	0.537	0.014	
7.7620	167.859	0.565	0.014	
7.7625	167.859	0.592	0.014	
7.7630	168.915	0.615	0.015	
7.7635	169.619	0.643	0.014	
7.7640	168.915	0.666	0.014	
7.7645	168.915	0.695	0.016	
7.7650	170.674	0.713	0.013	
7.7655	169.619	0.730	0.015	
7.7660	172.082	0.741	0.015	
7.7665	172.434	0.754	0.014	
7.7670	172.434	0.762	0.014	
7.7675	171.730	0.768	0.014	
7.7680	173.490	0.772	0.014	
7.7685	173.490	0.775	0.015	
7.7690	173.490	0.780	0.015	
7.7695	175.249	0.783	0.014	
7.7700	176.305	0.787	0.014	
7.7705	176.305	0.792	0.013	
7.7710	177.009	0.796	0.015	
7.7715	177.009	0.800	0.018	
7.7720	178.065	0.804	0.013	
7.7725	179.120	0.809	0.014	
7.7730	179.120	0.815	0.018	
7.7735	179.120	0.819	0.014	
7.7740	179.120	0.490	0.213	
7.7745	180.176	0.294	0.354	
7.7750	180.880	0.203	0.438	
7.7755	180.880	0.159	0.497	
7.7760	180.176	0.130	0.542	
7.7765	182.639	0.110	0.580	
7.7770	182.287	0.094	0.608	
7.7775	182.287	0.082	0.639	
7.7780	182.991	0.071	0.666	
7.7785	183.695	0.065	0.692	
7.7790	183.695	0.055	0.716	
7.7795	183.695	0.051	0.738	
7.7800	183.695	0.047	0.759	
7.7805	184.751	0.045	0.776	
7.7810	184.751	0.045	0.788	
7.7815	186.510	0.047	0.799	
7.7820	186.510	0.049	0.806	
7.7825	187.566	0.056	0.812	
7.7830	187.566	0.061	0.818	
7.7835	187.566	0.068	0.824	
7.7840	188.270	0.074	0.828	
7.7845	189.326	0.081	0.834	
7.7850	189.326	0.086	0.841	
7.7855	190.381	0.092	0.843	
7.7860	190.381	0.099	0.848	
7.7865	191.437	0.105	0.852	
7.7870	192.141	0.109	0.857	
7.7875	192.141	0.113	0.864	
7.7880	193.900	0.116	0.868	
7.7885	193.196	0.168	0.730	
7.7890	193.196	0.282	0.418	
7.7895	194.252	0.320	0.284	
7.7900	194.956	0.325	0.216	
7.7905	194.956	0.313	0.174	
7.7910	194.956	0.290	0.146	
7.7915	194.252	0.267	0.127	
7.7920	196.012	0.241	0.111	
7.7925	196.012	0.212	0.097	
7.7930	196.012	0.182	0.092	
7.7935	196.716	0.154	0.079	
7.7940	197.771	0.127	0.077	
7.7945	197.771	0.103	0.070	
7.7950	199.531	0.081	0.068	
7.7955	198.827	0.063	0.068	
7.7960	198.827	0.047	0.067	
7.7965	199.531	0.032	0.070	
7.7970	200.587	0.021	0.074	
7.7975	200.587	0.010	0.079	
7.7980	201.642	0.003	0.086	
7.7985	201.642	0.002	0.089	
7.7990	203.402	0.002	0.094	
7.7995	203.402	0.002	0.100	
7.8000	202.698	0.002	0.104	
7.8005	205.161	0.002	0.110	
7.8010	204.457	0.002	0.115	
7.8015	204.457	0.002	0.119	
7.8020	205.513	0.005	0.123	
7.8025	206.217	0.002	0.124	
7.8030	206.217	0.001	0.126	
7.8035	207.977	0.002	0.235	
7.8040	207.273	0.003	0.318	
7.8045	207.273	0.002	0.344	
7.8050	207.977	0.002	0.339	
7.8055	208.328	0.006	0.325	
7.8060	209.032	0.002	0.303	
7.8065	208.328	0.003	0.277	
7.8070	210.792	0.002	0.248	
7.8075	210.088	0.002	0.221	
7.8080	210.088	0.002	0.191	
7.8085	210.088	0.002	0.163	
7.8090	210.792	0.002	0.137	
7.8095	211.848	0.002	0.112	
7.8100	211.144	0.002	0.091	
7.8105	211.144	0.002	0.073	
7.8110	212.903	0.001	0.057	
7.8115	213.607	0.002	0.044	
7.8120	214.663	0.005	0.032	
7.8125	214.663	0.002	0.020	
7.8130	213.959	0.002	0.014	
7.8135	215.718	0.001	0.015	
7.8140	215.718	0.004	0.013	
7.8145	216.774	0.001	0.013	
7.8150	217.478	0.002	0.017	
7.8155	216.774	0.002	0.011	
7.8160	217.126	0.002	0.011	
7.8165	218.534	0.002	0.012	
7.8170	218.534	0.002	0.015	
7.8175	220.293	0.002	0.014	
7.8180	220.293	0.004	0.014	
7.8185	219.589	0.226	0.014	
7.8190	221.349	0.353	0.015	
7.8195	221.349	0.429	0.015	
7.8200	222.053	0.482	0.015	
7.8205	222.053	0.523	0.016	
7.8210	223.109	0.554	0.015	
7.8215	223.109	0.584	0.015	
7.8220	223.109	0.607	0.015	
7.8225	224.868	0.636	0.015	
7.8230	224.164	0.663	0.012	
7.8235	224.164	0.688	0.015	
7.8240	225.220	0.709	0.015	
7.8245	225.924	0.726	0.010	
7.8250	225.924	0.740	0.015	
7.8255	227.683	0.752	0.014	
7.8260	226.979	0.761	0.014	
7.8265	226.979	0.767	0.014	
7.8270	228.739	0.772	0.014	
7.8275	228.739	0.775	0.014	
7.8280	228.739	0.779	0.013	
7.8285	229.795	0.784	0.014	
7.8290	229.795	0.791	0.013	
7.8295	230.850	0.792	0.013	
7.8300	231.554	0.795	0.013	
7.8305	230.850	0.799	0.015	
7.8310	232.610	0.804	0.013	
7.8315	232.610	0.807	0.013	
7.8320	233.314	0.813	0.014	
7.8325	234.370	0.818	0.015	
7.8330	234.370	0.617	0.134	
7.8335	233.666	0.350	0.310	
7.8340	235.425	0.231	0.413	
7.8345	235.425	0.170	0.478	
7.8350	236.129	0.138	0.526	
7.8355	236.481	0.113	0.564	
7.8360	237.185	0.100	0.601	
7.8365	237.185	0.087	0.627	
7.8370	237.185	0.072	0.654	
7.8375	238.944	0.067	0.681	
7.8380	238.240	0.058	0.706	
7.8385	238.240	0.052	0.730	
7.8390	239.296	0.051	0.751	
7.8395	240.000	0.046	0.769	
7.8400	239.296	0.043	0.783	
7.8405	239.296	0.046	0.795	
7.8410	241.056	0.049	0.804	
7.8415	241.760	0.053	0.811	
7.8420	241.056	0.056	0.816	
7.8425	242.815	0.064	0.822	
7.8430	243.871	0.071	0.830	
7.8435	243.871	0.076	0.833	
7.8440	244.575	0.083	0.838	
7.8445	244.575	0.088	0.842	
7.8450	245.630	0.096	0.848	
7.8455	246.686	0.102	0.850	
7.8460	246.686	0.107	0.856	
7.8465	246.686	0.112	0.861	
7.8470	246.686	0.116	0.867	
7.8475	248.446	0.118	0.872	
7.8480	248.446	0.243	0.530	
7.8485	247.742	0.309	0.333	
7.8490	250.205	0.323	0.242	
7.8495	249.501	0.320	0.191	
7.8500	250.205	0.303	0.158	
7.8505	250.205	0.279	0.135	
7.8510	251.261	0.251	0.117	
7.8515	251.261	0.224	0.100	
7.8520	250.557	0.195	0.094	
7.8525	250.557	0.165	0.085	
7.8530	252.317	0.140	0.080	
7.8535	252.317	0.113	0.075	
7.8540	253.372	0.087	0.070	
7.8545	254.076	0.067	0.069	
7.8550	254.076	0.053	0.068	
7.8555	255.836	0.039	0.070	
7.8560	255.132	0.023	0.073	
7.8565	255.132	0.015	0.078	
7.8570	255.836	0.005	0.083	
7.8575	256.892	0.002	0.088	
7.8580	256.892	0.002	0.093	
7.8585	257.947	0.002	0.099	
7.8590	257.947	0.003	0.104	
7.8595	259.003	0.002	0.110	
7.8600	259.707	0.002	0.118	
7.8605	259.707	0.003	0.119	
7.8610	261.466	-0.001	0.123	
7.8615	260.762	0.002	0.126	
7.8620	260.762	0.002	0.127	
7.8625	261.818	-0.005	0.161	
7.8630	262.522	0.002	0.292	
7.8635	262.522	0.002	0.337	
7.8640	262.522	0.003	0.344	
7.8645	261.818	0.003	0.333	
7.8650	263.578	0.004	0.313	
7.8655	263.578	0.003	0.288	
7.8660	264.282	0.002	0.261	
7.8665	265.337	0.002	0.232	
7.8670	265.337	0.002	0.202	
7.8675	265.337	0.002	0.173	
7.8680	267.097	0.002	0.145	
7.8685	266.393	0.002	0.119	
7.8690	266.393	0.002	0.097	
7.8695	267.097	0.002	0.078	
7.8700	268.152	0.001	0.062	
7.8705	268.152	0.001	0.046	
7.8710	269.208	0.002	0.034	
7.8715	269.208	0.002	0.023	
7.8720	269.208	0.002	0.016	
7.8725	270.968	0.003	0.016	
7.8730	270.264	0.002	0.013	
7.8735	272.727	-0.001	0.014	
7.8740	272.023	0.002	0.014	
7.8745	272.023	0.002	0.015	
7.8750	273.783	0.001	0.014	
7.8755	273.783	0.001	0.011	
7.8760	274.839	-0.001	0.013	
7.8765	274.839	0.002	0.014	
7.8770	274.839	0.002	0.013	
7.8775	275.894	0.157	0.014	
7.8780	276.598	0.313	0.014	
7.8785	276.598	0.404	0.014	
7.8790	276.598	0.464	0.014	
7.8795	278.358	0.508	0.014	
7.8800	277.654	0.543	0.014	
7.8805	277.654	0.573	0.014	
7.8810	278.358	0.601	0.013	
