Elapsed Time[s]	Write 0 [A]	
2.4576	0.843	
2.4578	0.843	
2.4580	0.843	
2.4582	0.843	
2.4584	0.843	
2.4586	0.844	
2.4588	0.845	
2.4590	0.844	
2.4592	0.843	
2.4594	0.844	
2.4596	0.844	
2.4598	0.843	
2.4600	0.844	
2.4602	0.844	
2.4604	0.843	
2.4606	0.844	
2.4608	0.844	
2.4610	0.842	
2.4612	0.844	
2.4614	0.844	
2.4616	0.844	
2.4618	0.844	
2.4620	0.844	
2.4622	0.844	
2.4624	0.843	
2.4626	0.844	
2.4628	0.844	
2.4630	0.844	
2.4632	0.843	
2.4634	0.844	
2.4636	0.843	
2.4638	0.844	
2.4640	0.844	
2.4642	0.845	
2.4644	0.843	
2.4646	0.844	
2.4648	0.845	
2.4650	0.844	
2.4652	0.844	
2.4654	0.843	
2.4656	0.843	
2.4658	0.843	
2.4660	0.842	
2.4662	0.843	
2.4664	0.843	
2.4666	0.842	
2.4668	0.843	
2.4670	0.843	
2.4672	0.843	
2.4674	0.843	
2.4676	0.841	
2.4678	0.843	
2.4680	0.844	
2.4682	0.843	
2.4684	0.843	
2.4686	0.843	
2.4688	0.842	
2.4690	0.842	
2.4692	0.842	
2.4694	0.842	
2.4696	0.842	
2.4698	0.842	
2.4700	0.842	
2.4702	0.842	
2.4704	0.842	
2.4706	0.843	
2.4708	0.842	
2.4710	0.842	
2.4712	0.842	
2.4714	0.842	
2.4716	0.843	
2.4718	0.841	
2.4720	0.842	
2.4722	0.842	
2.4724	0.842	
2.4726	0.842	
2.4728	0.843	
2.4730	0.841	
2.4732	0.843	
2.4734	0.843	
2.4736	0.843	
2.4738	0.843	
2.4740	0.842	
2.4742	0.843	
2.4744	0.842	
2.4746	0.843	
2.4748	0.843	
2.4750	0.842	
2.4752	0.844	
2.4754	0.843	
2.4756	0.843	
2.4758	0.843	
2.4760	0.841	
2.4762	0.843	
2.4764	0.842	
2.4766	0.842	
2.4768	0.843	
2.4770	0.843	
2.4772	0.843	
2.4774	0.843	
2.4776	0.842	
2.4778	0.843	
2.4780	0.844	
2.4782	0.843	
2.4784	0.843	
2.4786	0.843	
2.4788	0.843	
2.4790	0.842	
2.4792	0.841	
2.4794	0.843	
2.4796	0.843	
2.4798	0.842	
2.4800	0.843	
2.4802	0.843	
2.4804	0.843	
2.4806	0.843	
2.4808	0.842	
2.4810	0.843	
2.4812	0.843	
2.4814	0.844	
2.4816	0.844	
2.4818	0.844	
2.4820	0.844	
2.4822	0.844	
2.4824	0.844	
2.4826	0.844	
2.4828	0.844	
2.4830	0.843	
2.4832	0.844	
2.4834	0.843	
2.4836	0.844	
2.4838	0.844	
2.4840	0.843	
2.4842	0.843	
2.4844	0.844	
2.4846	0.843	
2.4848	0.842	
2.4850	0.843	
2.4852	0.843	
2.4854	0.844	
2.4856	0.844	
2.4858	0.844	
2.4860	0.841	
2.4862	0.843	
2.4864	0.843	
2.4866	0.844	
2.4868	0.843	
2.4870	0.843	
2.4872	0.843	
2.4874	0.844	
2.4876	0.844	
2.4878	0.843	
2.4880	0.844	
2.4882	0.843	
2.4884	0.843	
2.4886	0.843	
2.4888	0.843	
2.4890	0.843	
2.4892	0.844	
2.4894	0.844	
2.4896	0.843	
2.4898	0.843	
2.4900	0.843	
2.4902	0.843	
2.4904	0.843	
2.4906	0.842	
2.4908	0.843	
2.4910	0.843	
2.4912	0.843	
2.4914	0.842	
2.4916	0.843	
2.4918	0.842	
2.4920	0.844	
2.4922	0.841	
2.4924	0.844	
2.4926	0.843	
2.4928	0.843	
2.4930	0.843	
2.4932	0.843	
2.4934	0.843	
2.4936	0.843	
2.4938	0.845	
2.4940	0.843	
2.4942	0.845	
2.4944	0.844	
2.4946	0.843	
2.4948	0.843	
2.4950	0.843	
2.4952	0.843	
2.4954	0.843	
2.4956	0.844	
2.4958	0.843	
2.4960	0.842	
2.4962	0.843	
2.4964	0.844	
2.4966	0.843	
2.4968	0.843	
2.4970	0.843	
2.4972	0.844	
2.4974	0.844	
2.4976	0.843	
2.4978	0.843	
2.4980	0.843	
2.4982	0.843	
2.4984	0.843	
2.4986	0.843	
2.4988	0.843	
2.4990	0.843	
2.4992	0.843	
2.4994	0.842	
2.4996	0.843	
2.4998	0.844	
2.5000	0.843	
2.5002	0.843	
2.5004	0.843	
2.5006	0.843	
2.5008	0.843	
2.5010	0.843	
2.5012	0.843	
2.5014	0.843	
2.5016	0.843	
2.5018	0.843	
2.5020	0.843	
2.5022	0.843	
2.5024	0.844	
2.5026	0.843	
2.5028	0.843	
2.5030	0.842	
2.5032	0.843	
2.5034	0.843	
2.5036	0.842	
2.5038	0.842	
2.5040	0.844	
2.5042	0.843	
2.5044	0.843	
2.5046	0.842	
2.5048	0.843	
2.5050	0.843	
2.5052	0.844	
2.5054	0.844	
2.5056	0.843	
2.5058	0.843	
2.5060	0.844	
2.5062	0.843	
2.5064	0.843	
2.5066	0.844	
2.5068	0.843	
2.5070	0.843	
2.5072	0.843	
2.5074	0.843	
2.5076	0.843	
2.5078	0.843	
2.5080	0.843	
2.5082	0.843	
2.5084	0.843	
2.5086	0.843	
2.5088	0.843	
2.5090	0.843	
2.5092	0.843	
2.5094	0.843	
2.5096	0.843	
2.5098	0.842	
2.5100	0.843	
2.5102	0.843	
2.5104	0.843	
2.5106	0.843	
2.5108	0.844	
2.5110	0.843	
2.5112	0.842	
2.5114	0.843	
2.5116	0.843	
2.5118	0.843	
2.5120	0.842	
2.5122	0.842	
2.5124	0.843	
2.5126	0.843	
2.5128	0.843	
2.5130	0.842	
2.5132	0.844	
2.5134	0.843	
2.5136	0.843	
2.5138	0.843	
2.5140	0.843	
2.5142	0.844	
2.5144	0.842	
2.5146	0.843	
2.5148	0.843	
2.5150	0.845	
2.5152	0.845	
2.5154	0.843	
2.5156	0.843	
2.5158	0.844	
2.5160	0.844	
2.5162	0.844	
2.5164	0.843	
2.5166	0.843	
2.5168	0.843	
2.5170	0.843	
2.5172	0.843	
2.5174	0.843	
2.5176	0.843	
2.5178	0.843	
2.5180	0.843	
2.5182	0.843	
2.5184	0.843	
2.5186	0.843	
2.5188	0.844	
2.5190	0.843	
2.5192	0.843	
2.5194	0.843	
2.5196	0.842	
2.5198	0.843	
2.5200	0.843	
2.5202	0.843	
2.5204	0.842	
2.5206	0.843	
