Elapsed Time[s]	Write 0 [deg]	Write 1 [A]	Write 2 [A]	
0.0000	261.114	0.589	0.017	
0.0005	259.707	0.558	0.018	
0.0010	257.947	0.544	0.014	
0.0015	256.188	0.280	0.220	
0.0020	255.836	0.118	0.311	
0.0025	253.372	0.060	0.331	
0.0030	250.557	0.035	0.328	
0.0035	250.205	0.016	0.319	
0.0040	247.742	0.006	0.319	
0.0045	246.686	0.004	0.311	
0.0050	245.630	0.005	0.306	
0.0055	243.871	0.005	0.306	
0.0060	242.111	0.004	0.309	
0.0065	241.760	0.004	0.310	
0.0070	238.944	0.287	0.034	
0.0075	236.481	0.322	0.016	
0.0080	235.425	0.331	0.016	
0.0085	234.370	0.338	0.019	
0.0090	233.314	0.340	0.020	
0.0095	230.499	0.336	0.016	
0.0100	228.035	0.340	0.016	
0.0105	227.331	0.351	0.017	
0.0110	225.924	0.355	0.016	
0.0115	224.868	0.331	0.017	
0.0120	222.405	0.137	0.223	
0.0125	219.589	0.002	0.423	
0.0130	218.534	0.005	0.456	
0.0135	217.478	0.005	0.474	
0.0140	216.422	0.002	0.483	
0.0145	213.607	0.003	0.487	
0.0150	211.144	0.006	0.492	
0.0155	210.088	0.004	0.498	
0.0160	209.032	0.005	0.512	
0.0165	207.977	0.004	0.520	
0.0170	205.161	0.005	0.521	
0.0175	202.698	0.278	0.217	
0.0180	201.994	0.344	0.149	
0.0185	200.587	0.381	0.121	
0.0190	198.827	0.405	0.112	
0.0195	197.067	0.421	0.111	
0.0200	196.716	0.438	0.116	
0.0205	193.900	0.459	0.112	
0.0210	191.437	0.479	0.132	
0.0215	190.381	0.488	0.165	
0.0220	189.326	0.520	0.192	
0.0225	187.566	0.397	0.357	
0.0230	186.510	0.231	0.487	
0.0235	184.751	0.182	0.530	
0.0240	183.695	0.161	0.553	
0.0245	182.639	0.150	0.541	
0.0250	180.176	0.145	0.494	
0.0255	179.824	0.144	0.430	
0.0260	179.824	0.158	0.360	
0.0265	177.009	0.181	0.296	
0.0270	174.897	0.211	0.241	
0.0275	173.490	0.248	0.193	
0.0280	172.434	0.460	0.019	
0.0285	170.674	0.513	0.016	
0.0290	169.619	0.531	0.018	
0.0295	167.859	0.526	0.016	
0.0300	166.100	0.492	0.015	
0.0305	166.100	0.440	0.013	
0.0310	165.748	0.380	0.017	
0.0315	163.636	0.320	0.016	
0.0320	162.229	0.260	0.015	
