Elapsed Time[s]	Write 0 [A]	
4.9152	0.858	
4.9154	0.858	
4.9156	0.856	
4.9158	0.857	
4.9160	0.858	
4.9162	0.858	
4.9164	0.857	
4.9166	0.861	
4.9168	0.856	
4.9170	0.856	
4.9172	0.858	
4.9174	0.856	
4.9176	0.858	
4.9178	0.857	
4.9180	0.860	
4.9182	0.858	
4.9184	0.856	
4.9186	0.858	
4.9188	0.856	
4.9190	0.858	
4.9192	0.857	
4.9194	0.858	
4.9196	0.857	
4.9198	0.857	
4.9200	0.858	
4.9202	0.857	
4.9204	0.857	
4.9206	0.857	
4.9208	0.857	
4.9210	0.857	
4.9212	0.857	
4.9214	0.857	
4.9216	0.857	
4.9218	0.857	
4.9220	0.855	
4.9222	0.857	
4.9224	0.857	
4.9226	0.857	
4.9228	0.859	
4.9230	0.856	
4.9232	0.856	
4.9234	0.859	
4.9236	0.856	
4.9238	0.856	
4.9240	0.858	
4.9242	0.854	
4.9244	0.857	
4.9246	0.857	
4.9248	0.858	
4.9250	0.857	
4.9252	0.856	
4.9254	0.857	
4.9256	0.858	
4.9258	0.856	
4.9260	0.857	
4.9262	0.855	
4.9264	0.858	
4.9266	0.858	
4.9268	0.857	
4.9270	0.860	
4.9272	0.857	
4.9274	0.858	
4.9276	0.857	
4.9278	0.857	
4.9280	0.858	
4.9282	0.857	
4.9284	0.856	
4.9286	0.858	
4.9288	0.857	
4.9290	0.857	
4.9292	0.858	
4.9294	0.854	
4.9296	0.861	
4.9298	0.858	
4.9300	0.860	
4.9302	0.853	
4.9304	0.858	
4.9306	0.857	
4.9308	0.853	
4.9310	0.858	
4.9312	0.862	
4.9314	0.858	
4.9316	0.858	
4.9318	0.858	
4.9320	0.858	
4.9322	0.858	
4.9324	0.857	
4.9326	0.858	
4.9328	0.859	
4.9330	0.858	
4.9332	0.858	
4.9334	0.859	
4.9336	0.858	
4.9338	0.860	
4.9340	0.857	
4.9342	0.858	
4.9344	0.858	
4.9346	0.858	
4.9348	0.858	
4.9350	0.857	
4.9352	0.855	
4.9354	0.857	
4.9356	0.858	
4.9358	0.858	
4.9360	0.858	
4.9362	0.858	
4.9364	0.857	
4.9366	0.857	
4.9368	0.854	
4.9370	0.856	
4.9372	0.856	
4.9374	0.858	
4.9376	0.857	
4.9378	0.862	
4.9380	0.858	
4.9382	0.856	
4.9384	0.858	
4.9386	0.857	
4.9388	0.859	
4.9390	0.858	
4.9392	0.857	
4.9394	0.857	
4.9396	0.858	
4.9398	0.857	
4.9400	0.857	
4.9402	0.857	
4.9404	0.857	
4.9406	0.857	
4.9408	0.858	
4.9410	0.857	
4.9412	0.858	
4.9414	0.857	
4.9416	0.857	
4.9418	0.856	
4.9420	0.857	
4.9422	0.857	
4.9424	0.859	
4.9426	0.857	
4.9428	0.856	
4.9430	0.856	
4.9432	0.858	
4.9434	0.857	
4.9436	0.857	
4.9438	0.857	
4.9440	0.858	
4.9442	0.856	
4.9444	0.858	
4.9446	0.857	
4.9448	0.858	
4.9450	0.861	
4.9452	0.856	
4.9454	0.857	
4.9456	0.856	
4.9458	0.858	
4.9460	0.858	
4.9462	0.853	
4.9464	0.858	
4.9466	0.857	
4.9468	0.858	
4.9470	0.856	
4.9472	0.857	
4.9474	0.857	
4.9476	0.857	
4.9478	0.857	
4.9480	0.858	
4.9482	0.860	
4.9484	0.856	
4.9486	0.857	
4.9488	0.854	
4.9490	0.858	
4.9492	0.857	
4.9494	0.860	
4.9496	0.859	
4.9498	0.858	
4.9500	0.857	
4.9502	0.859	
4.9504	0.859	
4.9506	0.857	
4.9508	0.862	
4.9510	0.858	
4.9512	0.858	
4.9514	0.858	
4.9516	0.858	
4.9518	0.858	
4.9520	0.858	
4.9522	0.858	
4.9524	0.858	
4.9526	0.858	
4.9528	0.858	
4.9530	0.858	
4.9532	0.857	
4.9534	0.858	
4.9536	0.858	
4.9538	0.857	
4.9540	0.857	
4.9542	0.858	
4.9544	0.857	
4.9546	0.859	
4.9548	0.857	
4.9550	0.857	
4.9552	0.855	
4.9554	0.860	
4.9556	0.859	
4.9558	0.859	
4.9560	0.856	
4.9562	0.858	
4.9564	0.856	
4.9566	0.858	
4.9568	0.858	
4.9570	0.855	
4.9572	0.857	
4.9574	0.858	
4.9576	0.857	
4.9578	0.857	
4.9580	0.853	
4.9582	0.856	
4.9584	0.857	
4.9586	0.857	
4.9588	0.857	
4.9590	0.858	
4.9592	0.858	
4.9594	0.857	
4.9596	0.858	
4.9598	0.858	
4.9600	0.858	
4.9602	0.857	
4.9604	0.857	
4.9606	0.858	
4.9608	0.857	
4.9610	0.858	
4.9612	0.857	
4.9614	0.857	
4.9616	0.859	
4.9618	0.857	
4.9620	0.858	
4.9622	0.856	
