Time (ms)	Temperature Value (C)
0	49,200000
112	49,100000
224	49,200000
336	49,200000
448	49,100000
560	49,200000
672	49,100000
784	49,100000
896	49,100000
1008	49,100000
1120	49,100000
1232	49,000000
1344	49,100000
1456	49,100000
1568	49,100000
1680	49,100000
1792	49,100000
1904	49,200000
2016	49,200000
2128	49,200000
2240	49,200000
2352	49,200000
2467	49,200000
2579	49,200000
2691	49,100000
2803	49,100000
2915	49,100000
3027	49,100000
3139	49,100000
3251	49,100000
3363	49,100000
3475	49,200000
3587	49,100000
3699	49,100000
3811	49,100000
3923	49,100000
4035	49,200000
4147	49,100000
4259	49,100000
4371	49,100000
4483	49,100000
4595	49,000000
4707	49,200000
4819	49,100000
4931	49,100000
5043	49,100000
5155	49,200000
5267	49,100000
5379	49,100000
5491	49,000000
5603	49,000000
5715	49,000000
5827	49,000000
5939	49,000000
6051	49,000000
6163	49,100000
6275	49,100000
6387	49,000000
6499	49,000000
6611	48,900000
6723	49,000000
6835	48,900000
6947	48,900000
7059	48,900000
7171	48,800000
7283	48,700000
7395	48,800000
7507	48,800000
7619	48,800000
7731	48,800000
7843	48,800000
7955	48,800000
8067	48,800000
8179	48,900000
8291	48,900000
8403	49,000000
8515	49,000000
8627	48,900000
8739	48,900000
8851	48,800000
8963	48,800000
9075	48,800000
9187	48,700000
9299	48,700000
9411	48,700000
9523	48,600000
9635	48,600000
9747	48,700000
9859	48,700000
9971	48,700000
10083	48,600000
10195	48,600000
10307	48,600000
10419	48,700000
10531	48,700000
10643	48,600000
10755	48,700000
10867	48,600000
10979	48,700000
11091	48,700000
11203	48,700000
11315	48,600000
11427	48,600000
11539	48,700000
11651	48,600000
11763	48,700000
11875	48,800000
11987	48,700000
12099	48,600000
12211	48,600000
12323	48,700000
12435	48,600000
12547	48,600000
12659	48,600000
12771	48,600000
12883	48,600000
12995	48,600000
13107	48,600000
13219	48,600000
13331	48,500000
13443	48,500000
13555	48,600000
13667	48,600000
13779	48,700000
13891	48,700000
14003	48,900000
14115	48,800000
14227	48,800000
14339	48,800000
14451	48,900000
14563	48,800000
14675	48,900000
14787	48,900000
14899	48,900000
15011	48,800000
15123	48,600000
15235	48,800000
15347	48,700000
15459	48,600000
15571	48,700000
15683	48,600000
15795	48,700000
15907	48,700000
16019	48,800000
16131	48,700000
16243	48,800000
16355	48,800000
16467	48,800000
16579	48,800000
16691	48,800000
16803	48,800000
16915	48,800000
17027	48,800000
17139	48,900000
17251	48,800000
17363	48,900000
17475	48,900000
17587	48,900000
17699	48,800000
17811	38,800000
17923	30,400000
18035	27,700000
18147	26,900000
18259	26,600000
18371	26,500000
18483	26,500000
18595	26,400000
18707	26,400000
18819	26,400000
18931	26,300000
19043	26,400000
19155	26,300000
19267	26,300000
19379	26,300000
19491	26,300000
19603	26,400000
19715	26,400000
19827	26,300000
19939	26,300000
20051	26,300000
20163	26,300000
20275	26,400000
20387	26,300000
20499	26,300000
20611	26,300000
20723	26,300000
20835	26,300000
20947	26,400000
21059	26,300000
21171	26,400000
21283	26,400000
21395	26,400000
21507	26,400000
21619	26,400000
21731	26,500000
21843	26,400000
21955	26,400000
22067	26,300000
22179	26,400000
22291	26,500000
22403	26,400000
22515	26,400000
22627	26,400000
22739	26,400000
22851	26,500000
22963	26,400000
23075	26,400000
23187	26,300000
23299	26,500000
23411	26,500000
23523	26,600000
23635	41,300000
23747	46,300000
23859	47,900000
23971	48,300000
24083	48,400000
24195	48,500000
24307	48,500000
24419	48,600000
24531	48,600000
24643	48,700000
24755	48,600000
24867	48,700000
24979	48,700000
25091	48,700000
25203	48,700000
25315	48,700000
25427	48,700000
25539	48,800000
25651	48,800000
25763	48,700000
25875	48,600000
25987	48,800000
26099	48,800000
26211	48,800000
26323	48,800000
26435	48,800000
26547	48,800000
26659	48,800000
26771	48,800000
26883	48,800000
26995	48,900000
27107	48,800000
27219	48,800000
27331	48,800000
27443	48,800000
27555	48,800000
27667	48,800000
27779	48,800000
27891	48,800000
28003	48,600000
28115	48,600000
28227	48,600000
28339	48,600000
28451	48,600000
28563	48,600000
28675	48,700000
28787	48,700000
28899	48,700000
29011	48,800000
29123	48,700000
29235	48,700000
29347	46,500000
29459	32,500000
29571	28,400000
29683	27,200000
29795	26,800000
29907	26,600000
30019	26,500000
30131	26,500000
30243	26,500000
30355	26,500000
30467	26,500000
30579	26,400000
30691	26,400000
30803	26,400000
30915	26,400000
31027	26,400000
31139	26,400000
31251	26,400000
31363	26,300000
31475	26,400000
31587	26,400000
31699	26,400000
31811	26,500000
31923	26,400000
32035	26,400000
32147	26,500000
32259	40,000000
32371	46,000000
32483	47,800000
32595	48,300000
32707	48,400000
32819	48,500000
32931	48,500000
33043	48,500000
33155	34,000000
33267	29,100000
33379	27,500000
33491	27,000000
33603	26,800000
33715	26,700000
33827	26,700000
33939	26,600000
34051	26,700000
34163	26,700000
34275	26,700000
34387	26,600000
34499	26,600000
34611	26,600000
34723	26,600000
34835	26,600000
34947	26,600000
35059	26,600000
35171	26,700000
35283	26,600000
35395	26,600000
35507	26,600000
35619	26,600000
35731	26,600000
35843	26,700000
35955	26,700000
36067	26,700000
36179	26,700000
36291	26,700000
36403	26,700000
36515	26,700000
36627	26,700000
36739	26,700000
36851	26,800000
36963	26,800000
37075	26,700000
37187	26,700000
37299	26,800000
37411	26,700000
37523	26,800000
37635	26,800000
37747	26,900000
37859	26,900000
37971	26,800000
38083	26,900000
38195	26,900000
38307	26,900000
38419	26,800000
38531	26,900000
38643	26,900000
38755	26,900000
38867	26,900000
38979	27,000000
39091	27,000000
39203	27,000000
39315	27,000000
39427	27,000000
39539	27,000000
39651	27,000000
39763	27,100000
39875	27,000000
39987	27,000000
40099	27,100000
40211	27,100000
40323	27,000000
40435	27,200000
40547	27,100000
40659	27,100000
40771	27,000000
40883	27,100000
40995	27,000000
41107	27,100000
41219	27,100000
41331	27,200000
41443	27,200000
41555	27,200000
41667	27,200000
41779	27,200000
41891	27,200000
42003	27,200000
42115	27,200000
42227	27,200000
42339	27,200000
42451	27,300000
42563	27,300000
42675	27,300000
42787	27,300000
42899	27,200000
43011	27,300000
43123	27,300000
43235	27,300000
43347	27,200000
43459	27,200000
43571	27,200000
43683	27,300000
43795	27,400000
43907	27,400000
44019	27,300000
44131	27,400000
44243	27,400000
44355	27,400000
44467	27,400000
44579	27,400000
44691	27,400000
44803	27,400000
44915	27,500000
45027	27,500000
45139	27,400000
45251	27,300000
45363	27,400000
45475	27,500000
45587	27,400000
45699	27,400000
45811	27,400000
